key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2016-11-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of November 4,2016' in the contract header."
party_A,Party A,99,"MUFG Union Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A identified as 'MUFG Union Bank, N.A.' in the introductory paragraph."
party_B,party_B,99,"Pricesmart, Inc.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B identified as 'Pricesmart, Inc.' in the introductory paragraph."
specified_entity_A,Specified entity Party A,90,None,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 109, 110]",Text states 'Specified Entity' means in relation to Party A: None.
specified_entity_B,Specified entity Party B,90,Any Affiliate,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 109, 110]",Text states 'Specified Entity' means in relation to Party B: Any Affiliate.
specified_transaction,Specified transaction scope,90,STD,[20],"The text states that 'Specified Transaction' has the meaning specified in Section 14, indicating the standard scope as per Section 14."
cross_default,Cross default applicable parties,95,AB,[21],The text states that the 'Cross Default' provisions apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,"[25, 138]",The text does not explicitly mention borrowed money as included or excluded in Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,"[25, 138]","The text states that for Party A, Specified Indebtedness shall not include deposits received in the normal course of business, indicating deposits are excluded."
threshold_amount_A_amount,amount for Party A,90,None,[26],"Threshold amount for Party A is specified as a percentage (3%) of Shareholders' Equity, no fixed amount given."
threshold_amount_A_currency,currency for Party A ,90,None,[26],"No currency specified for Party A threshold amount, as it is expressed as a percentage."
threshold_amount_A_percent,percentage for Party A ,95,3.0,[26],Threshold amount for Party A is 3% as explicitly stated.
threshold_amount_A_percent_reference,percentage reference for Party A ,95,SHAREHOLDER,[26],Percentage reference for Party A is Shareholders' Equity as explicitly stated.
threshold_amount_B_amount,amount for Party B,80,None,[26],"Threshold amount for Party B is defined by reference to the 'threshold amount' under the Credit Agreement, no fixed amount given."
threshold_amount_B_currency,currency for Party B,80,None,[26],"No currency specified for Party B threshold amount, as it is defined by reference to another agreement."
threshold_amount_B_percent,percentage for Party B,80,None,[26],No percentage specified for Party B threshold amount; it is defined by reference to another agreement.
threshold_amount_B_percent_reference,percentage reference for Party B,80,None,[26],No percentage reference specified for Party B threshold amount; it is defined by reference to another agreement.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,"[29, 30, 31]",The text states that 'Credit Event Upon Merger' applies to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,[32],"The text states that the Automatic Early Termination provision will not apply to Party A and will not apply to Party B, indicating it applies to no party."
termination_currency,Termination Currency,95,USD,[33],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,95,ISDAgroup@us.mufg.jp,"[71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]",Email for Party A is explicitly stated twice as ISDAgroup@us.mufg.jp in the addresses for notices.
notices_B,Email for notices for Party B,95,apatel@pricesmart.com,"[71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]",Email for Party B is explicitly stated as apatel@pricesmart.com in the address for notices.
process_agent_A,Process agent for party A,95,False,"[91, 92, 93]",Text states 'Party A appoints as its Process Agent: Not Applicable.' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,95,None,"[91, 92, 93]",No process agent appointed for Party A as per text.
process_agent_address_A,Address of process agent for party A,95,None,"[91, 92, 93]",No process agent appointed for Party A as per text.
process_agent_B,Process agent for party B,95,False,"[91, 92, 93]",Text states 'Party B appoints as its Process Agent: Not Applicable.' indicating no process agent for Party B.
process_agent_name_B,Name of process agent for party B,95,None,"[91, 92, 93]",No process agent appointed for Party B as per text.
process_agent_address_B,Address of process agent for party B,95,None,"[91, 92, 93]",No process agent appointed for Party B as per text.
multibranch_party_A,Party A is a Multibranch party,95,False,"[95, 96, 97]",Text explicitly states 'Party A is not a Multibranch Party'.
multibranch_party_A_offices,Party A offices,90,Los Angeles,"[95, 96, 97]",Party A may act only through the Los Angeles office as stated.
multibranch_party_B,Party B is a Multibranch party,95,False,"[95, 96, 97]",Text explicitly states 'Party B is not a Multibranch Party'.
multibranch_party_B_offices,Party B offices,90,None,"[95, 96, 97]",No offices listed for Party B since it is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,"[98, 157]","The text states 'The Calculation Agent is Party A, unless otherwise specified in a Confirmation,' indicating Party A is the default calculation agent."
governing_law,Governing Law,95,NEW-YORK,[103],The text states the agreement is governed by the laws of the State of New York.
