key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2016-01-19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned in the text as 'dated as of January 19, 2016'."
party_A,Party A,100,"CITIBANK, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is clearly identified in the text as 'CITIBANK, N.A.'."
party_B,party_B,100,CHELTENHAM FUNDING LLC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is clearly identified in the text as 'CHELTENHAM FUNDING LLC'.
specified_entity_A,Specified entity Party A,95,"Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Financial Products Inc., Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Canada, Citigroup Energy Canada ULC, Citibank International Limited and Citibank Japan Ltd.","[10, 11, 12, 13]",The specified entities for Party A are explicitly listed under section (i) for the purpose of Section 5(a)(v).
specified_entity_B,Specified entity Party B,95,FS Investment Corporation IV,"[10, 11, 12, 13]",The specified entity for Party B is clearly mentioned under section (ii) for multiple sections of the agreement.
specified_transaction,Specified transaction scope,95,STD,"[14, 15]","The text states that 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, indicating a standard scope."
cross_default,Cross default applicable parties,95,AB,"[16, 17]",The text explicitly states that the 'Cross Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,"[18, 38]",The text does not mention borrowed money in relation to specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,"[18, 38]",The text explicitly states that specified indebtedness shall not include deposits received in the course of a party's ordinary banking business.
threshold_amount_A_amount,amount for Party A,80,None,"[19, 20, 21, 22, 23, 24, 25]","The text specifies a percentage for Party A, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,80,None,"[19, 20, 21, 22, 23, 24, 25]","The text specifies a percentage for Party A, not a currency amount."
threshold_amount_A_percent,percentage for Party A ,100,2.0,"[19, 20, 21, 22, 23, 24, 25]",The text states '2% of the stockholders' equity of Party A'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[19, 20, 21, 22, 23, 24, 25]","The reference is 'stockholders' equity', which aligns with SHAREHOLDER."
threshold_amount_B_amount,amount for Party B,100,100000.0,"[19, 20, 21, 22, 23, 24, 25]","The text states 'USD100,000' for Party B."
threshold_amount_B_currency,currency for Party B,100,USD,"[19, 20, 21, 22, 23, 24, 25]","The text specifies 'USD100,000', indicating the currency is USD."
threshold_amount_B_percent,percentage for Party B,80,None,"[19, 20, 21, 22, 23, 24, 25]","The text specifies a fixed amount for Party B, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,80,None,"[19, 20, 21, 22, 23, 24, 25]","The text specifies a fixed amount for Party B, not a percentage reference."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[26],The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[27],The text explicitly states that the 'Automatic Early Termination' provisions will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[29],"The text explicitly states 'Termination Currency means United States Dollars', which corresponds to the ISO currency code 'USD'."
notices_A,Email for notices for Party A,0,None,"[82, 83, 84, 85, 87, 88]",The text does not provide an email address for notices to Party A.
notices_B,Email for notices for Party B,95,jerry.stahlecker@franklinsquare.com,"[82, 83, 84, 85, 87, 88]",The email address for Party B is explicitly mentioned in the text under the address for notices or communications to Party B.
process_agent_A,Process agent for party A,100,False,"[89, 90, 91]",The text explicitly states 'Party A appoints as its Process Agent: Not Applicable'.
process_agent_name_A,Name of process agent for party A,100,None,"[89, 90, 91]","Since process agent is not applicable for Party A, there is no name provided."
process_agent_address_A,Address of process agent for party A,100,None,"[89, 90, 91]","Since process agent is not applicable for Party A, there is no address provided."
process_agent_B,Process agent for party B,100,False,"[89, 90, 91]",The text explicitly states 'Party B appoints as its Process Agent: Not Applicable'.
process_agent_name_B,Name of process agent for party B,100,None,"[89, 90, 91]","Since process agent is not applicable for Party B, there is no name provided."
process_agent_address_B,Address of process agent for party B,100,None,"[89, 90, 91]","Since process agent is not applicable for Party B, there is no address provided."
multibranch_party_A,Party A is a Multibranch party,95,True,"[93, 94, 95]",The text explicitly states 'Party A is a Multibranch Party'.
multibranch_party_A_offices,Party A offices,95,"New York, London, Singapore and Sydney","[93, 94, 95]","The text lists the offices for Party A: 'New York, London, Singapore and Sydney'."
multibranch_party_B,Party B is a Multibranch party,95,False,"[93, 94, 95]",The text explicitly states 'Party B is not a Multibranch Party'.
multibranch_party_B_offices,Party B offices,95,None,"[93, 94, 95]","Since Party B is not a Multibranch Party, there are no offices listed for Party B."
calculation_agent,Party for calculation agent,95,A,[96],The text specifies that the Calculation Agent will be Party A unless otherwise specified.
governing_law,Governing Law,95,NEW-YORK,[104],The text explicitly states that the agreement is governed by the law of the State of New York.
