key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2011-03-22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of March 22, 2011' in the contract header."
party_A,Party A,99,"BANK OF AMERICA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is clearly identified as 'BANK OF AMERICA, N.A.' in the contract text."
party_B,party_B,99,LKQ CORPORATION,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is clearly identified as 'LKQ CORPORATION' in the contract text.
specified_entity_A,Specified entity Party A,90,None,"[15, 17, 18, 116, 117]","The text explicitly states 'Specified Entity' means in relation to Party A, none."
specified_entity_B,Specified entity Party B,90,None,"[15, 17, 18, 116, 117]","The text explicitly states 'Specified Entity' means in relation to Party B, none."
specified_transaction,Specified transaction scope,90,NONSTD,[19],"The text indicates amendments to Section 14 including additional transactions and wording changes, thus it is a non-standard specified transaction scope."
cross_default,Cross default applicable parties,90,AB,"[20, 21, 22]","Text states 'will apply to Party A and will apply to Party B', indicating cross default applies to both parties."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,95,True,[23],The text explicitly states that 'Specified Indebtedness' includes 'any obligation in respect of borrowed money'.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[23],The text explicitly excludes 'obligations in respect of deposits received in the ordinary course of a party's banking business' from 'Specified Indebtedness'.
threshold_amount_A_amount,amount for Party A,90,None,[24],"Threshold amount for Party A is given as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[24],No currency specified for Party A since threshold is percentage based.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[24],Threshold amount for Party A is explicitly stated as 3%.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[24],Threshold percentage for Party A is based on Shareholders' Equity.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[24],"Threshold amount for Party B is explicitly stated as $50,000,000."
threshold_amount_B_currency,currency for Party B,90,USD,[24],Dollar sign ($) indicates USD currency for Party B.
threshold_amount_B_percent,percentage for Party B,90,None,[24],"Threshold amount for Party B is given as a fixed amount, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[24],No percentage reference for Party B since threshold is fixed amount.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,90,AB,"[27, 28, 29]",The text states that the 'Credit Event Upon Merger' provisions will apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,"[30, 31, 32]","Text states 'will not apply to Party A' and 'will not apply to Party B', indicating no party is subject to Automatic Early Termination."
termination_currency,Termination Currency,95,USD,[33],"The text explicitly defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,jsquinn@lkqcorp.com,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 134]",Email address explicitly labeled under 'With a copy to' for Party A's notice address section.
notices_B,Email for notices for Party B,0,None,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 134]",No email address found for Party B in the provided text.
process_agent_A,Process agent for party A,100,False,"[92, 93, 94]",Text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[92, 93, 94]",No process agent appointed for Party A as it is not applicable.
process_agent_address_A,Address of process agent for party A,100,None,"[92, 93, 94]",No process agent appointed for Party A as it is not applicable.
process_agent_B,Process agent for party B,100,False,"[92, 93, 94]",Text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[92, 93, 94]",No process agent appointed for Party B as it is not applicable.
process_agent_address_B,Address of process agent for party B,100,None,"[92, 93, 94]",No process agent appointed for Party B as it is not applicable.
multibranch_party_A,Party A is a Multibranch party,95,True,"[96, 97, 98]",Text explicitly states Party A is a Multibranch Party and lists multiple offices.
multibranch_party_A_offices,Party A offices,95,"Charlotte, North Carolina; Chicago, Illinois; San Francisco, California; New York, New York; Boston, Massachusetts; London, England; Canada Branch in Toronto, Ontario","[96, 97, 98]",Offices for Party A are explicitly listed in the text.
multibranch_party_B,Party B is a Multibranch party,95,False,"[96, 97, 98]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[96, 97, 98]",No offices listed for Party B as it is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,[99],The text explicitly states 'The Calculation Agent is Party A.'
governing_law,Governing Law,100,NEW-YORK,[108],The text explicitly states the agreement is governed by the laws of the State of New York.
