key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2005-10-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states 'dated as of October 12,2005' which clearly indicates the contract date."
party_A,Party A,100,Brown Brothers Harriman & Co,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",The text specifies 'between Brown Brothers Harriman & Co (Party A)'.
party_B,party_B,100,Met - Pro Corporation,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",The text specifies 'and Met - Pro Corporation ( Party B)'.
specified_entity_A,Specified entity Party A,100,None,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",The text explicitly states 'None' for all relevant sections for Party A.
specified_entity_B,Specified entity Party B,100,None,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",The text explicitly states 'None' for all relevant sections for Party B.
specified_transaction,Specified transaction scope,100,STD,[14],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, which is the standard definition."
cross_default,Cross default applicable parties,100,AB,[15],"The text states that the Cross Default provisions will apply to Party A and to Party B, indicating both parties are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,95,TRUE,[16],"The definition includes 'any obligation in respect of the payment of monies', which encompasses borrowed money."
specified_indebtness_deposits,Specified indebtness excludes deposits,100,TRUE,[16],"The text explicitly states that 'such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business', so deposits are excluded."
threshold_amount_A_amount,amount for Party A,100,10000000,"[17, 18]","The text states 'in relation to Party A, $10,000,000 or the equivalent thereof in any other currencies'."
threshold_amount_A_currency,currency for Party A ,95,USD,"[17, 18]","The amount is specified in dollars ($), which typically refers to USD in ISDA contracts."
threshold_amount_A_percent,percentage for Party A ,100,None,"[17, 18]",No percentage threshold is mentioned for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,None,"[17, 18]",No percentage or reference is mentioned for Party A.
threshold_amount_B_amount,amount for Party B,100,10000000,"[17, 18]","The text states 'in relation to Party B, $10,000,000 or the equivalent thereof in any other currency.'"
threshold_amount_B_currency,currency for Party B,95,USD,"[17, 18]","The amount is specified in dollars ($), which typically refers to USD in ISDA contracts."
threshold_amount_B_percent,percentage for Party B,100,None,"[17, 18]",No percentage threshold is mentioned for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,"[17, 18]",No percentage or reference is mentioned for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,"[19, 20]","The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and will apply to Party B, indicating both parties are applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,"[21, 22, 23]","The text states that Automatic Early Termination will not apply to Party A and will not apply to Party B, so it applies to no party."
termination_currency,Termination Currency,100,USD,[27],"The text explicitly states 'Termination Currency' means U S Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,100,None,"[46, 47, 48, 49, 50, 51, 52, 53, 54]","No email address is provided for Party A in the given text; only physical address, telephone, fax, and SWIFT are listed."
notices_B,Email for notices for Party B,100,None,"[46, 47, 48, 49, 50, 51, 52, 53, 54]",No email address is provided for Party B in the given text; only physical address and contact person are listed.
process_agent_A,Process agent for party A,100,FALSE,"[55, 56, 57, 58]","The text explicitly states 'Party A None', indicating no process agent for Party A."
process_agent_name_A,Name of process agent for party A,100,None,"[55, 56, 57, 58]",No process agent is applicable for Party A as stated in the text.
process_agent_address_A,Address of process agent for party A,100,None,"[55, 56, 57, 58]",No process agent is applicable for Party A as stated in the text.
process_agent_B,Process agent for party B,100,TRUE,"[55, 56, 57, 58]","Party B has a process agent listed: 'Met-Pro, Attn: Gary J. Morgan, 160 Cassell Road, PO Box 144, Harleysville, PA 19438'."
process_agent_name_B,Name of process agent for party B,100,"Met-Pro, Attn: Gary J. Morgan","[55, 56, 57, 58]","The name of the process agent for Party B is given as 'Met-Pro, Attn: Gary J. Morgan'."
process_agent_address_B,Address of process agent for party B,100,"160 Cassell Road, PO Box 144, Harleysville, PA 19438","[55, 56, 57, 58]","The address for Party B's process agent is listed after the name: '160 Cassell Road, PO Box 144, Harleysville, PA 19438'."
multibranch_party_A,Party A is a Multibranch party,100,FALSE,"[60, 61, 62]",The text explicitly states 'Party A is not a multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[60, 61, 62]","Party A is not a multibranch party, so no offices are specified."
multibranch_party_B,Party B is a Multibranch party,100,FALSE,"[60, 61, 62]",The text explicitly states 'Party B is not a multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[60, 61, 62]","Party B is not a multibranch party, so no offices are specified."
calculation_agent,Party for calculation agent,100,A,[63],The text explicitly states 'The calculation agent will be Party A.'
governing_law,Governing Law,100,NEW-YORK,[66],The text explicitly states the agreement is governed by the laws of the State of New York.
