key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,100,all Affiliates,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 93, 94]",The text explicitly states: 'Specified Entity' means in relation to Party A all Affiliates.
specified_entity_B,Specified entity Party B,100,all Affiliates,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 93, 94]",The text explicitly states: 'Specified Entity' means in relation to Party B all Affiliates.
specified_transaction,Specified transaction scope,100,STD,[21],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, indicating the standard definition is used."
cross_default,Cross default applicable parties,95,AB,"[24, 25]","The text states that the Cross-Default provisions will apply to Party A and will apply to Party B, with a carve-out, so both parties are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,True,[26],"The definition includes 'any obligation...for the payment or repayment of any money', which covers borrowed money."
specified_indebtness_deposits,Specified indebtness excludes deposits,50,None,[26],Deposits are not mentioned or excluded; the definition is broad and does not specify exclusion.
threshold_A,Threshold amount for Party A,100,"{'amount': {'value': 100000000, 'confidence': 1.0, 'explanation': ""Explicitly stated: 'in relation to Party A ... USD 100,000,000.00'""}, 'currency': {'value': 'USD', 'confidence': 1.0, 'explanation': ""Explicitly stated: 'USD 100,000,000.00'""}, 'percent': {'value': None, 'confidence': 1.0, 'explanation': 'No percentage threshold stated for Party A.'}, 'percent_reference': {'value': None, 'confidence': 1.0, 'explanation': 'No percentage threshold stated for Party A.'}}",[27],"Threshold for Party A is explicitly stated as USD 100,000,000.00."
threshold_B,Threshold amount for Party B,100,"{'amount': {'value': 10000, 'confidence': 1.0, 'explanation': ""Explicitly stated: 'USD 10,000.00'""}, 'currency': {'value': 'USD', 'confidence': 1.0, 'explanation': ""Explicitly stated: 'USD 10,000.00'""}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""Explicitly stated: '3% of stockholder equity, shareholder's equity...'""}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""The reference is 'stockholder equity, shareholder's equity, membership interests, partnership interests or the equivalent', which matches the enum SHAREHOLDER.""}}",[27],"Threshold for Party B is the lesser of USD 10,000 or 3% of shareholder's equity."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,[28],The text explicitly states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[29],"The text explicitly states that the 'Automatic Early Termination' provision will not apply, indicating it is not applicable to any party."
termination_currency,Termination Currency,100,USD,[30],"The text explicitly states that 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 128, 129]",No email address is provided for Party A in the notice section or in the addresses for Party A.
notices_B,Email for notices for Party B,100,jhn@qad.com,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 128, 129]",The email address for Party B is explicitly listed as 'E-mail: jhn@qad.com' in the address for notices to Party B.
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party A's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent appointed for Party A, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent appointed for Party A, so no address is provided.'}}","[73, 74, 75]",Both the appointment and details are explicitly stated as not applicable.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party B's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent appointed for Party B, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent appointed for Party B, so no address is provided.'}}","[73, 74, 75]",Both the appointment and details are explicitly stated as not applicable.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party A is not a Multibranch Party, so no offices are listed.'}}","[77, 78, 79]",Both the status and lack of offices are explicitly stated.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[77, 78, 79]",Both the status and lack of offices are explicitly stated.
calculation_agent,Party for calculation agent,95,A,[80],"The text states that the Calculation Agent is Cooperatieve Centrale Raiffeisen-Boerenleenbank B.A., which is typically identified as Party A in ISDA Schedules."
governing_law,Governing Law,100,NEW-YORK,[89],The text explicitly states that the agreement is governed by the laws of the State of New York.
