key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2011-03-10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states '2002 Master Agreement dated as of March 10, 2011', which is the date of the contract."
party_A,Party A,100,"BANK OF AMERICA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'BANK OF AMERICA, N.A.' as 'Party A'."
party_B,party_B,100,"NATURAL ALTERNATIVES INTERNATIONAL, INC.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'NATURAL ALTERNATIVES INTERNATIONAL, INC.' as 'Party B'."
specified_entity_A,Specified entity Party A,100,none,"[14, 15, 98, 99]",The text explicitly states: 'Specified Entity means in relation to Party A ... none;'
specified_entity_B,Specified entity Party B,100,any Affiliate of Party B,"[14, 15, 98, 99]",The text explicitly states: 'Specified Entity means in relation to Party B ... any Affiliate of Party B.'
specified_transaction,Specified transaction scope,100,NONSTD,[16],"The text explicitly states that the definition of 'Specified Transaction' is amended to include additional types of transactions and to modify the wording, which constitutes a non-standard (NONSTD) scope."
cross_default,Cross default applicable parties,100,AB,"[17, 18, 19]",The text states that the Cross-Default provisions will apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,100,True,"[20, 21]",The definition explicitly includes 'any obligation in respect of borrowed money.'
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,"[20, 21]",The definition explicitly states that 'such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.'
threshold_amount_A_amount,amount for Party A,100,None,[22],"The threshold for Party A is defined as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,100,None,[22],No currency is specified for Party A as the threshold is a percentage of Shareholders' Equity.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[22],The text states 'three percent (3%) of the Shareholders' Equity of Bank of America Corporation' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[22],"The percentage is referenced to 'Shareholders' Equity', matching the SHAREHOLDER enum."
threshold_amount_B_amount,amount for Party B,100,0.0,[22],"The text states 'with respect to Party B, zero ($0)'."
threshold_amount_B_currency,currency for Party B,100,USD,[22],"The amount for Party B is given as $0, which implies USD."
threshold_amount_B_percent,percentage for Party B,100,None,[22],No percentage threshold is specified for Party B; only a fixed amount is given.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,[22],"No percentage threshold is specified for Party B, so no reference applies."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,"[24, 25, 26]",The text states that the 'Credit Event Upon Merger' provisions will apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,"[27, 28, 29]","The text states that Automatic Early Termination will not apply to Party A and will not apply to Party B, so it does not apply to either party."
termination_currency,Termination Currency,100,USD,[30],"The text explicitly states 'Termination Currency means United States Dollars', and the ISO code for United States Dollars is USD."
notices_A,Email for notices for Party A,100,None,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 72, 73, 74, 75, 76, 77, 78, 79, 122]","No email address is provided for Party A in the notice section; only physical address, telephone, and facsimile are listed."
notices_B,Email for notices for Party B,100,kwolf@nai-online.com,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 72, 73, 74, 75, 76, 77, 78, 79, 122]",The text explicitly lists 'Email Address: kwolf@nai-online.com' under the notice address for Party B.
process_agent_A,Process agent for party A,100,False,"[80, 81, 82]",The text states 'Party A appoints as its Process Agent: Not applicable.' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,100,None,"[80, 81, 82]","No process agent is applicable for Party A, so no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[80, 81, 82]","No process agent is applicable for Party A, so no address is provided."
process_agent_B,Process agent for party B,100,False,"[80, 81, 82]",The text states 'Party B appoints as its Process Agent: Not applicable.' indicating no process agent for Party B.
process_agent_name_B,Name of process agent for party B,100,None,"[80, 81, 82]","No process agent is applicable for Party B, so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[80, 81, 82]","No process agent is applicable for Party B, so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[84, 85, 86]",The text explicitly states 'Party A is a Multibranch Party'.
multibranch_party_A_offices,Party A offices,100,"Charlotte, North Carolina; Chicago, Illinois; San Francisco, California; New York, New York; Boston, Massachusetts; London, England; Canada Branch in Toronto, Ontario; or such other Office as may be agreed to by the parties in connection with a Transaction.","[84, 85, 86]",The offices are listed in the sentence describing Party A's Multibranch status.
multibranch_party_B,Party B is a Multibranch party,100,False,"[84, 85, 86]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[84, 85, 86]","Party B is not a Multibranch Party, so no offices are listed."
calculation_agent,Party for calculation agent,100,A,[87],The text explicitly states 'The Calculation Agent is Party A.'
governing_law,Governing Law,100,NEW-YORK,[93],The text explicitly states that the agreement is governed by the laws of the State of New York.
