key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2016-01-19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of January 19, 2016' in the header."
party_A,Party A,99,"CITIBANK, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A identified as 'CITIBANK, N.A., a national banking association...' in the contract."
party_B,party_B,99,CHELTENHAM FUNDING LLC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B identified as 'CHELTENHAM FUNDING LLC, a limited liability company...' in the contract."
specified_entity_A,Specified entity Party A,95,"Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Financial Products Inc., Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Canada, Citigroup Energy Canada ULC, Citibank International Limited, Citibank Japan Ltd.","[9, 10, 11, 12, 13, 107]",Listed explicitly as Specified Entity in relation to Party A for Section 5(a)(v) of the Agreement.
specified_entity_B,Specified entity Party B,95,"FS Investment Corporation IV, a Maryland corporation","[9, 10, 11, 12, 13, 107]","Listed explicitly as Specified Entity in relation to Party B for Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v) of the Agreement."
specified_transaction,Specified transaction scope,90,STD,"[14, 15]","The text states that 'Specified Transaction' has the meaning specified in Section 14 of the Agreement, indicating the standard definition as per Section 14."
cross_default,Cross default applicable parties,95,AB,"[16, 17]",Text states that the 'Cross Default' provisions apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,"[18, 38]",The text does not explicitly mention whether borrowed money is included in Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,"[18, 38]",The text explicitly states that Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business.
threshold_amount_A_amount,amount for Party A,90,None,"[19, 20, 21, 22, 23]","Threshold amount for Party A is expressed as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,"[19, 20, 21, 22, 23]","Threshold amount for Party A is expressed as a percentage, no currency specified."
threshold_amount_A_percent,percentage for Party A ,100,2.0,"[19, 20, 21, 22, 23]",Party A threshold is 2% of the stockholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[19, 20, 21, 22, 23]","Party A threshold percentage is based on stockholders' equity, matching SHAREHOLDER reference."
threshold_amount_B_amount,amount for Party B,100,100000.0,"[19, 20, 21, 22, 23]","Party B threshold amount is USD 100,000."
threshold_amount_B_currency,currency for Party B,100,USD,"[19, 20, 21, 22, 23]",Party B threshold amount is specified in USD.
threshold_amount_B_percent,percentage for Party B,90,None,"[19, 20, 21, 22, 23]","Party B threshold is specified as a fixed amount, no percentage given."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,"[19, 20, 21, 22, 23]","Party B threshold is specified as a fixed amount, no percentage reference."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[26],"The text states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B (and Party B Investor), indicating applicability to both parties."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[27],The text explicitly states that the Automatic Early Termination provisions will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,95,USD,[29],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[82, 83, 84, 85]",No email address provided for Party A in the notices section.
notices_B,Email for notices for Party B,100,jerry.stahlecker@franklinsquare.com,"[82, 83, 84, 85]",Email explicitly provided for Party B in the notices section.
process_agent_A,Process agent for party A,95,False,"[89, 90, 91]",Text states 'Party A appoints as its Process Agent: Not Applicable' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,95,None,"[89, 90, 91]",No process agent appointed for Party A as per text.
process_agent_address_A,Address of process agent for party A,95,None,"[89, 90, 91]",No process agent appointed for Party A as per text.
process_agent_B,Process agent for party B,95,False,"[89, 90, 91]",Text states 'Party B appoints as its Process Agent: Not Applicable' indicating no process agent for Party B.
process_agent_name_B,Name of process agent for party B,95,None,"[89, 90, 91]",No process agent appointed for Party B as per text.
process_agent_address_B,Address of process agent for party B,95,None,"[89, 90, 91]",No process agent appointed for Party B as per text.
multibranch_party_A,Party A is a Multibranch party,95,True,"[93, 94, 95]",Text explicitly states Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,95,"New York, London, Singapore and Sydney","[93, 94, 95]",Text lists these offices for Party A as a Multibranch Party.
multibranch_party_B,Party B is a Multibranch party,95,False,"[93, 94, 95]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[93, 94, 95]",No offices listed for Party B since it is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,[96],The text states that the Calculation Agent will be Party A unless otherwise specified.
governing_law,Governing Law,100,NEW-YORK,[104],The text explicitly states that the agreement shall be governed by the law of the State of New York.
