key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2005-08-11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of August 11, 2005' in the header."
party_A,Party A,99,"BANK OF AMERICA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A identified as 'BANK OF AMERICA, N.A.' in the introductory paragraph."
party_B,party_B,99,"KATY INDUSTRIES, INC.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B identified as 'KATY INDUSTRIES, INC.' in the introductory paragraph."
specified_entity_A,Specified entity Party A,90,None,"[14, 15, 16, 17, 94]",Text explicitly states 'Specified Entity' means None for Party A in the relevant sections.
specified_entity_B,Specified entity Party B,80,None,"[14, 15, 16, 17, 94]","Text states 'Specified Entity' means None for Party B in the relevant sections, but also mentions 'any Affiliate of Party B' which may imply broader meaning; however, primary definition is None."
specified_transaction,Specified transaction scope,90,STD,[18],"The text states 'Specified Transaction' has the meaning specified in Section 14, indicating the standard scope as per Section 14."
cross_default,Cross default applicable parties,95,AB,"[19, 20, 21, 24, 107, 108]","Text states 'will apply to Party A and will apply to Party B', indicating cross default applies to both parties."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,True,[22],The definition of Specified Indebtedness includes 'any obligation in respect of the payment of moneys' which encompasses borrowed money.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[22],The definition explicitly excludes 'obligations in respect of deposits received in the ordinary course of a party's banking business.'
threshold_amount_A_amount,amount for Party A,90,None,[23],"Threshold amount for Party A is specified as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[23],No currency specified for Party A as threshold is a percentage.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[23],Party A's threshold amount is 3% as explicitly stated.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[23],Percentage reference for Party A is Shareholders' Equity as stated.
threshold_amount_B_amount,amount for Party B,100,1000000.0,[23],"Party B's threshold amount is $1,000,000.00 as explicitly stated."
threshold_amount_B_currency,currency for Party B,90,USD,[23],Currency inferred as USD from dollar sign ($) for Party B.
threshold_amount_B_percent,percentage for Party B,90,None,[23],"Threshold amount for Party B is specified as a fixed amount, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[23],No percentage reference for Party B as threshold is a fixed amount.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,90,AB,"[27, 28, 29]","The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and will apply to Party B, indicating both parties are applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,"[30, 31, 32]",Text explicitly states that Automatic Early Termination will not apply to Party A or Party B.
termination_currency,Termination Currency,95,USD,[33],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[54, 55, 56, 57, 58, 59, 121, 122, 123]",The text provides physical addresses for Party A but does not include any email address for notices.
notices_B,Email for notices for Party B,90,None,"[54, 55, 56, 57, 58, 59, 121, 122, 123]",The text does not provide any information about Party B or an email address for notices.
process_agent_A,Process agent for party A,80,None,"[60, 61]",No explicit mention of process agent for Party A in the provided text.
process_agent_name_A,Name of process agent for party A,80,None,"[60, 61]",No name of process agent for Party A found in the provided text.
process_agent_address_A,Address of process agent for party A,70,"Chicago, IL 60606","[60, 61]","Address provided could be related to process agent, but no explicit link to Party A."
process_agent_B,Process agent for party B,80,None,"[60, 61]",No explicit mention of process agent for Party B in the provided text.
process_agent_name_B,Name of process agent for party B,80,None,"[60, 61]",No name of process agent for Party B found in the provided text.
process_agent_address_B,Address of process agent for party B,80,None,"[60, 61]",No address for process agent for Party B found in the provided text.
multibranch_party_A,Party A is a Multibranch party,0,None,"[64, 65]",No information about Party A being a multibranch party in the provided text.
multibranch_party_A_offices,Party A offices,0,None,"[64, 65]",No information about Party A offices in the provided text.
multibranch_party_B,Party B is a Multibranch party,0,None,"[64, 65]",No information about Party B being a multibranch party in the provided text.
multibranch_party_B_offices,Party B offices,0,None,"[64, 65]",No information about Party B offices in the provided text.
calculation_agent,Party for calculation agent,95,A,"[66, 67, 80, 81, 136]",The text explicitly states 'The Calculation Agent is Party A' and reiterates 'Calculation Agent: Party A'.
governing_law,Governing Law,100,NEW-YORK,"[72, 88]",The text explicitly states the agreement is governed by the laws of the State of New York.
