key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2019-03-20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned in the text as 'dated as of March 20, 2019'."
party_A,Party A,95,"CITIBANK, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'CITIBANK, N.A.' in the text, followed by a description of its organization."
party_B,party_B,95,FARMER BROS. CO.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'FARMER BROS. CO.' in the text, followed by a description of its organization."
specified_entity_A,Specified entity Party A,100,"Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Japan Ltd., Citibank Canada, Citigroup Energy Canada ULC, and Citigroup Financial Products Inc.","[17, 18]",The text explicitly lists the specified entities for Party A under Section 5(a)(v).
specified_entity_B,Specified entity Party B,100,None,"[17, 18]",The text explicitly states 'Not Applicable' for Party B in relation to specified entities.
specified_transaction,Specified transaction scope,95,STD,"[19, 22]","The text specifies that 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, indicating a standard definition."
cross_default,Cross default applicable parties,95,AB,"[23, 24]",The text explicitly states that the 'Cross Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,[25],The text does not mention borrowed money in relation to specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[25],The text explicitly states that specified indebtedness shall not include deposits received in the course of ordinary banking business.
threshold_amount_A_amount,amount for Party A,80,None,"[26, 27, 28, 29, 30]","The threshold amount for Party A is expressed as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,80,None,"[26, 27, 28, 29, 30]","The threshold amount for Party A is expressed as a percentage, not a fixed currency amount."
threshold_amount_A_percent,percentage for Party A ,100,2.0,"[26, 27, 28, 29, 30]",The contract specifies '2% of the stockholders' equity of Party A' as the threshold amount.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[26, 27, 28, 29, 30]","The percentage is based on 'stockholders' equity', which corresponds to the 'SHAREHOLDER' enum."
threshold_amount_B_amount,amount for Party B,100,10000000.0,"[26, 27, 28, 29, 30]","The contract specifies 'USD 10,000,000' as the threshold amount for Party B."
threshold_amount_B_currency,currency for Party B,100,USD,"[26, 27, 28, 29, 30]",The threshold amount for Party B is specified in 'USD'.
threshold_amount_B_percent,percentage for Party B,80,None,"[26, 27, 28, 29, 30]","The threshold amount for Party B is specified as a fixed amount, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,80,None,"[26, 27, 28, 29, 30]","The threshold amount for Party B is specified as a fixed amount, not a percentage."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[31],The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,[32],"The text explicitly states that Automatic Early Termination provisions will not apply to Party A or Party B, except under specific legal conditions."
termination_currency,Termination Currency,20,None,[33],"The text references Section 14 for the definition of 'Termination Currency', but does not specify the currency directly in the provided text."
notices_A,Email for notices for Party A,50,None,"[78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 91, 92, 93, 94]",The text does not provide an email address for Party A. It mentions address and facsimile number only.
notices_B,Email for notices for Party B,100,LegalDepartment@farmerbros.com,"[78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 91, 92, 93, 94]",The email address for Party B is explicitly mentioned in the text under the address for notices or communications to Party B.
process_agent_A,Process agent for party A,50,None,"[95, 96]",The text does not mention Party A's process agent status.
process_agent_name_A,Name of process agent for party A,50,None,"[95, 96]",The text does not provide a name for Party A's process agent.
process_agent_address_A,Address of process agent for party A,50,None,"[95, 96]",The text does not provide an address for Party A's process agent.
process_agent_B,Process agent for party B,100,False,"[95, 96]",The text explicitly states 'Party B appoints as its Process Agent: Not applicable'.
process_agent_name_B,Name of process agent for party B,100,None,"[95, 96]","Since Party B's process agent is 'Not applicable', no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[95, 96]","Since Party B's process agent is 'Not applicable', no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[7, 98, 99, 100]",The text explicitly states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,"New York, London, Singapore and Sydney","[7, 98, 99, 100]","The text lists the offices for Party A: 'New York, London, Singapore and Sydney.'"
multibranch_party_B,Party B is a Multibranch party,100,False,"[7, 98, 99, 100]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[7, 98, 99, 100]","Since Party B is not a Multibranch Party, there are no offices listed."
calculation_agent,Party for calculation agent,90,A,[101],The text specifies that the Calculation Agent will be Party A unless it is a Defaulting Party.
governing_law,Governing Law,95,NEW-YORK,[106],The text explicitly states that the agreement is governed by the laws of the State of New York.
