key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2010-05-28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of May 28, 2010' in the header."
party_A,Party A,98,SOCIÉTÉ GÉNÉRALE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A identified as 'SOCIÉTÉ GÉNÉRALE a company incorporated under the laws of France (""Party A"")'."
party_B,party_B,98,"CINEDIGM DIGITAL FUNDING I, LLC","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B identified as 'CINEDIGM DIGITAL FUNDING I, LLC a limited liability company formed under the laws of the State of Delaware (""Party B"")'."
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 94, 95]","Text explicitly states 'Specified Entity' means in relation to Party A, None."
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 94, 95]","Text explicitly states 'Specified Entity' means in relation to Party B, None."
specified_transaction,Specified transaction scope,90,STD,"[18, 110, 111]","The text states that 'Specified Transaction' has the meaning specified in Section 14 of the Agreement, indicating the use of the standard definition as per Section 14."
cross_default,Cross default applicable parties,95,AB,"[19, 20]",The text states that the Cross-Default provisions apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,80,None,[21],The text does not explicitly mention borrowed money as included or excluded in Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[21],The text explicitly states that Specified Indebtedness shall exclude indebtedness in respect of deposits received in the ordinary course of business.
threshold_amount_A_amount,amount for Party A,90,None,"[22, 23]","Threshold amount for Party A is specified as a percentage (3%), no fixed amount given."
threshold_amount_A_currency,currency for Party A ,90,None,"[22, 23]","No fixed currency amount for Party A, only percentage specified."
threshold_amount_A_percent,percentage for Party A ,100,3.0,"[22, 23]",Threshold amount for Party A is 3% as stated in 'an amount equal to 3% of shareholder's equity'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[22, 23]",Percentage reference for Party A is 'shareholder's equity'.
threshold_amount_B_amount,amount for Party B,100,250000.0,"[22, 23]","Threshold amount for Party B is USD 250,000 for defaults under Section 5(a)(vi)(ii)."
threshold_amount_B_currency,currency for Party B,100,USD,"[22, 23]",Currency for Party B threshold amount is USD as stated.
threshold_amount_B_percent,percentage for Party B,100,0.0,"[22, 23]",Threshold amount for Party B is zero (0) percent for defaults under Section 5(a)(vi)(i).
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,"[22, 23]",No percentage reference given for Party B's zero percent threshold.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[24],The text states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,"[25, 121, 122, 123, 124]",The text explicitly states that the 'Automatic Early Termination' provision of Section 6(a) will not apply to Party A or Party B.
termination_currency,Termination Currency,100,USD,[26],The text explicitly defines 'Termination Currency' as United States Dollars (USD).
notices_A,Email for notices for Party A,90,None,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",No email address explicitly provided for Party A notices; only physical addresses and other contact details given.
notices_B,Email for notices for Party B,90,None,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",No email address explicitly provided for Party B notices; only physical address given.
process_agent_A,Process agent for party A,0,None,"[65, 66, 67, 68, 72, 73]",No information about process agent for Party A in the provided text.
process_agent_name_A,Name of process agent for party A,0,None,"[65, 66, 67, 68, 72, 73]",No process agent name for Party A found in the text.
process_agent_address_A,Address of process agent for party A,0,None,"[65, 66, 67, 68, 72, 73]",No process agent address for Party A found in the text.
process_agent_B,Process agent for party B,0,None,"[65, 66, 67, 68, 72, 73]",No information about process agent for Party B in the provided text.
process_agent_name_B,Name of process agent for party B,0,None,"[65, 66, 67, 68, 72, 73]",No process agent name for Party B found in the text.
process_agent_address_B,Address of process agent for party B,0,None,"[65, 66, 67, 68, 72, 73]",No process agent address for Party B found in the text.
multibranch_party_A,Party A is a Multibranch party,95,True,"[70, 71, 74, 78, 79, 80]",Text explicitly states Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,90,Head Office and any of its branch Offices worldwide,"[70, 71, 74, 78, 79, 80]",Text states Party A may enter into a Transaction through its Head Office and any of its branch Offices worldwide.
multibranch_party_B,Party B is a Multibranch party,95,False,"[70, 71, 74, 78, 79, 80]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[70, 71, 74, 78, 79, 80]",No offices mentioned for Party B as it is not a Multibranch Party.
calculation_agent,Party for calculation agent,90,A,"[75, 76, 81]","The text states 'The Calculation Agent is Party A, unless otherwise specified in a Confirmation', indicating Party A is the default calculation agent."
governing_law,Governing Law,95,NEW-YORK,"[86, 87]",The text explicitly states the agreement is governed by the laws of the State of New York.
