key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,95,any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation,"[9, 10, 11]",The text explicitly defines 'Specified Entity' for Party A as any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation.
specified_entity_B,Specified entity Party B,100,None,"[9, 10, 11]",The text explicitly states that 'Specified Entity' in relation to Party B is 'not applicable.'
specified_transaction,Specified transaction scope,95,NONSTD,"[12, 119, 182]","The text explicitly states amendments to the definition of 'Specified Transaction' in Section 14, including adding 'margin loan' and excluding certain language, indicating a non-standard scope."
cross_default,Cross default applicable parties,80,AB,"[13, 16, 17]","The text states that the Cross-Default provisions of Section 5(a)(vi) will apply, but does not specify only one party. By default, unless otherwise limited, ISDA Schedules apply such provisions to both parties. No limiting language is present."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,20,None,[14],The text does not mention borrowed money or whether it is included in Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[14],"The text explicitly states that Specified Indebtedness shall exclude, in relation to Party A, any deposits received in the ordinary course of business."
threshold_A,Threshold amount for Party A,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount stated for Party A, only a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': ""No currency specified for Party A's threshold.""}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""Explicitly states '3% of its total shareholders' equity' for Party A.""}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""Reference is 'total shareholders' equity', which matches the enum SHAREHOLDER.""}}",[15],All information for Party A is explicitly stated in the provided text.
threshold_B,Threshold amount for Party B,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount stated for Party B, only a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': ""No currency specified for Party B's threshold.""}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""Explicitly states '3% of its Net Asset Value' for Party B.""}, 'percent_reference': {'value': 'NAV', 'confidence': 1.0, 'explanation': ""Reference is 'Net Asset Value', which matches the enum NAV.""}}",[15],All information for Party B is explicitly stated in the provided text.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,NONE,[19],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply, indicating that no party is subject to these provisions."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[20],"The text explicitly states that the 'Automatic Early Termination' provisions will not apply, indicating it is not applicable to any party."
termination_currency,Termination Currency,100,USD,[18],"The text explicitly states that 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,80,jpmnavdata@jpmorgan.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]","The only email provided for Party A is for Net Asset Value statements, not explicitly for notices under Sections 5 or 6, but it is the only email listed for Party A."
notices_B,Email for notices for Party B,100,Patrick.egan@morganstanley.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",The text explicitly states that all notices to Party B for purposes of Sections 5 and 6 shall be sent to this email.
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party A's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party A, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party A, so no address is provided.'}}","[82, 83, 84]",Both the appointment and details are explicitly stated as not applicable for Party A.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party B's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party B, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party B, so no address is provided.'}}","[82, 83, 84]",Both the appointment and details are explicitly stated as not applicable for Party B.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': None, 'confidence': 0.9, 'explanation': 'The text states Party A may act through any Office specified in a Confirmation, but does not list specific offices.'}}","[86, 87, 88]",Both the status and office information are directly addressed in the text.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[86, 87, 88]",The text directly states Party B is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,"[123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138]","The text explicitly states 'the Calculation Agent will be Party A' except as otherwise provided in the applicable Confirmation or Master Confirmation, or if an Event of Default occurs and is continuing in respect of Party A. In business as usual situations, Party A is the Calculation Agent."
governing_law,Governing Law,100,NEW-YORK,[94],The text explicitly states that the agreement will be governed by the laws of the State of New York.
