key,title,value,confidence,explanation,evidence
specified_entity_A,Specified entity Party A,,100,The text explicitly states that 'Specified Entity' in relation to Party A is 'none'.,"[16, 17, 18, 19, 109, 110]"
specified_entity_B,Specified entity Party B,,100,The text explicitly states that 'Specified Entity' in relation to Party B is 'none'.,"[16, 17, 18, 19, 109, 110]"
specified_transaction,Specified transaction scope,STD,95,"The text states that 'Specified Transaction' will have the meaning specified in Section 14, indicating the standard definition is used.",[20]
cross_default,Cross default applicable parties,AB,95,"The text states that the 'Cross-Default' provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B, indicating both parties are subject to cross default.","[21, 22, 25]"
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,50,The text does not mention 'borrowed money' explicitly as included or excluded from Specified Indebtedness. It only states exceptions for deposits and non-recourse indebtedness.,[23]
specified_indebtness_deposits,Specified indebtness excludes deposits,True,90,The text explicitly states that Specified Indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.,[23]
threshold_A,Threshold amount for Party A,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party A; the threshold is a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': ""No currency is specified for Party A's threshold, as it is a percentage of equity.""}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""The text states 'three percent (3%)' for Party A.""}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""The reference is 'Stockholders' Equity', which matches the enum SHAREHOLDER.""}}",100,All details for Party A are explicitly stated in the definition.,[24]
threshold_B,Threshold amount for Party B,"{'amount': {'value': 50000000, 'confidence': 1.0, 'explanation': ""The text states 'USD 50,000,000' for Party B.""}, 'currency': {'value': 'USD', 'confidence': 1.0, 'explanation': 'The amount for Party B is specified in USD.'}, 'percent': {'value': None, 'confidence': 1.0, 'explanation': ""No percentage is specified for Party B's threshold.""}, 'percent_reference': {'value': None, 'confidence': 1.0, 'explanation': ""No percentage reference is needed as Party B's threshold is a fixed amount.""}}",100,All details for Party B are explicitly stated in the definition.,[24]
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,AB,95,"The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and will apply to Party B, indicating both parties are applicable.",[29]
automatic_early_termination,Automatic Early Termination  applicable parties,NONE,100,The text explicitly states that Automatic Early Termination will not apply to Party A and will not apply to Party B.,[30]
termination_currency,Termination Currency,USD,100,"The text explicitly states that 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD.",[31]
notices_A,Email for notices for Party A,,90,"No email address is provided for Party A (Citibank, N.A.) in the text; only a facsimile number is listed. The text states that the email may be specified in a Confirmation or in writing, but no such email is given here.","[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]"
notices_B,Email for notices for Party B,chris.hanson@aei.com,100,"The text explicitly lists 'E-mail: chris.hanson@aei.com' for Party B (Advanced Energy Industries, Inc.) under the address for notices.","[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]"
process_agent_A,Process agent for party A,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': 'The text explicitly states that Party A appoints as its Process Agent: Not Applicable.'}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent name is provided for Party A; it is stated as Not Applicable.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent address is provided for Party A; it is stated as Not Applicable.'}}",100,Both the appointment and details for Party A's process agent are explicitly stated as Not Applicable.,"[89, 90, 91]"
process_agent_B,Process agent for party B,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': 'The text explicitly states that Party B appoints as its Process Agent: Not Applicable.'}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent name is provided for Party B; it is stated as Not Applicable.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent address is provided for Party B; it is stated as Not Applicable.'}}",100,Both the appointment and details for Party B's process agent are explicitly stated as Not Applicable.,"[89, 90, 91]"
multibranch_party_A,Multibranch for Party A,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': ['New York Office'], 'confidence': 1.0, 'explanation': ""The text states Party A 'may act through its New York Office'.""}}",100,Both the multibranch status and office for Party A are explicitly stated.,"[93, 94, 95]"
multibranch_party_B,Multibranch for Party B,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}",100,Party B's status is explicitly stated as not a Multibranch Party.,"[93, 94, 95]"
calculation_agent,Party for calculation agent,A,95,"The text explicitly states 'Calculation Agent is Party A' in business as usual situations, with exceptions only if an Event of Default occurs with respect to Party A.",[96]
governing_law,Governing Law,NEW-YORK,100,The text explicitly states that the agreement shall be governed by the laws of the State of New York.,"[103, 104]"
