key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2008-09-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Phrase 'dated as of September 12, 2008'."
party_A,Party A,65,Barclays Bank PLC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Header shows both labels but misaligned; provisions (e.g., Credit Support Default, Cross Default apply to Party A) indicate the bank is Party A."
party_B,party_B,65,World Financial Network Credit Card Master Note Trust,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Other named counterparty in the header; Party B inferred given Party A aligns with the bank in the provisions.
specified_entity_A,Specified entity Party A,100,None,,Part 1(a): “Specified Entity shall not apply to Party A or Party B.”
specified_entity_B,Specified entity Party B,100,None,,Part 1(a): “Specified Entity shall not apply to Party A or Party B.”
specified_transaction,Specified transaction scope,80,STD,,No change to Section 14 definition of Specified Transaction; only Section 5(a)(v) non-applicability stated (Part 1(e)).
cross_default,Cross default applicable parties,100,A,,Part 1(f): Cross Default applies to Party A and will not apply to Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,70,True,,Part 1(f) (following paragraph): Specified Indebtedness has the meaning in Section 14 (standard definition is borrowed money).
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,,Part 1(f) (following paragraph): deposits received in ordinary banking business are excluded.
threshold_amount_A_amount,amount for Party A,95,None,,"Part 1(f) (following paragraph): Threshold Amount is 3% of total shareholders’ equity (percentage-based, no fixed amount)."
threshold_amount_A_currency,currency for Party A ,95,None,,"Threshold for Party A set as a percentage, not a currency amount."
threshold_amount_A_percent,percentage for Party A ,100,3.0,,Part 1(f) (following paragraph): “3% of its total shareholders equity.”
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,,Reference is to “total shareholders’ equity.”
threshold_amount_B_amount,amount for Party B,95,None,,No Threshold Amount specified for Party B.
threshold_amount_B_currency,currency for Party B,95,None,,No Threshold Amount specified for Party B.
threshold_amount_B_percent,percentage for Party B,95,None,,No Threshold Amount specified for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,95,None,,No Threshold Amount specified for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,NONE,,Part 1(k): Credit Event Upon Merger will not apply to Party A or Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,,Part 1(l): Automatic Early Termination will not apply to Party A or Party B.
termination_currency,Termination Currency,100,USD,,Part 1(m): “Termination Currency means United States Dollars.”
notices_A,Email for notices for Party A,90,None,,Part 4(b)(i): Notice details list address/phone/fax but no email for Party A.
notices_B,Email for notices for Party B,90,None,,Part 4(b)(ii): Notice details list address/phone/fax but no email for Party B.
process_agent_A,Process agent for party A,100,True,,Part 4(h): Party A appoints a Process Agent.
process_agent_name_A,Name of process agent for party A,100,Barclays Capital,,Part 4(h): “Barclays Capital” named as Process Agent for Party A.
process_agent_address_A,Address of process agent for party A,100,"200 Park Avenue, New York, NY 10166, Attn: Legal Department",,Part 4(h): Address provided for Party A’s Process Agent.
process_agent_B,Process agent for party B,100,False,,Part 4(h): “Party B appoints as its Process Agent… Not applicable.”
process_agent_name_B,Name of process agent for party B,100,None,,Process agent not applicable for Party B.
process_agent_address_B,Address of process agent for party B,100,None,,Process agent not applicable for Party B.
multibranch_party_A,Party A is a Multibranch party,100,True,,Part 4(d)(ii)(1): Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,100,London and New York,,Part 4(d)(ii)(1): Party A may act through its London and New York Offices.
multibranch_party_B,Party B is a Multibranch party,100,False,,Part 4(d)(ii)(2): Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,100,None,,Party B is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,,Part 4(e): Calculation Agent is Party A (with fallback to a designee by Party B upon Party A default).
governing_law,Governing Law,100,NEW-YORK,,Part 4(a): Governed by the laws of the State of New York.
