key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2019-03-20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states 'ISDA 2002 Master Agreement dated as of March 20, 2019', which clearly provides the contract date."
party_A,Party A,100,"CITIBANK, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'CITIBANK, N.A.' as Party A, with the label (""Party A"") directly following the name."
party_B,party_B,100,FARMER BROS. CO.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'FARMER BROS. CO.' as Party B, with the label (""Party B"") directly following the name."
specified_entity_A,Specified entity Party A,100,"Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Japan Ltd., Citibank Canada, Citigroup Energy Canada ULC, and Citigroup Financial Products Inc.","[17, 18]",The text explicitly lists these entities as the Specified Entities for Party A for the purposes of Section 5(a)(v).
specified_entity_B,Specified entity Party B,100,None,"[17, 18]","The text states 'in relation to Party B, Not Applicable,' indicating there is no Specified Entity for Party B."
specified_transaction,Specified transaction scope,100,NONSTD,"[19, 22]","The text expands the standard Section 14 definition by explicitly including additional transaction types (e.g., margin loans, short sales, commodity trading transactions) and provides a broad definition of 'commodity,' indicating a non-standard scope."
cross_default,Cross default applicable parties,100,AB,"[23, 24]","The text states that the Cross Default provisions will apply to Party A and will apply to Party B, indicating both parties are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[25],The text does not explicitly mention whether borrowed money is included in Specified Indebtedness; it only references the definition in Section 14.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,TRUE,[25],The text explicitly states that Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business.
threshold_amount_A_amount,amount for Party A,100,None,"[26, 27, 28, 29, 30]",No fixed amount is specified for Party A; only a percentage is provided.
threshold_amount_A_currency,currency for Party A ,100,None,"[26, 27, 28, 29, 30]",No currency is specified for Party A's threshold; it is a percentage of equity.
threshold_amount_A_percent,percentage for Party A ,100,2,"[26, 27, 28, 29, 30]",The text states '2% of the stockholders' equity of Party A'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[26, 27, 28, 29, 30]","The reference is 'stockholders' equity', which matches the 'SHAREHOLDER' enum."
threshold_amount_B_amount,amount for Party B,100,10000000,"[26, 27, 28, 29, 30]","The text states 'USD 10,000,000' for Party B."
threshold_amount_B_currency,currency for Party B,100,USD,"[26, 27, 28, 29, 30]",The amount for Party B is specified in USD.
threshold_amount_B_percent,percentage for Party B,100,None,"[26, 27, 28, 29, 30]",No percentage is specified for Party B; only a fixed amount.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,"[26, 27, 28, 29, 30]","No percentage is specified for Party B, so no reference applies."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,[31],"The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and will apply to Party B, indicating both parties are applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[32],"The text states that Automatic Early Termination will not apply to Party A and will not apply to Party B, except in jurisdictions where law requires it, which is a conditional and not general application. Therefore, the general setting is NONE."
termination_currency,Termination Currency,100,None,[33],"The text does not specify a particular currency; it only refers to the definition in Section 14, so no specific ISO currency code is provided."
notices_A,Email for notices for Party A,100,None,"[78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 91, 92, 93, 94]",The text does not provide an email address for notices to Party A; only a physical address and facsimile number are given.
notices_B,Email for notices for Party B,100,LegalDepartment@farmerbros.com,"[78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 91, 92, 93, 94]",The text explicitly lists 'Email: LegalDepartment@farmerbros.com' for notices to Party B.
process_agent_A,Process agent for party A,90,None,"[95, 96]",The text only mentions Party B in relation to process agent; there is no information about Party A.
process_agent_name_A,Name of process agent for party A,100,None,"[95, 96]",No process agent is mentioned for Party A.
process_agent_address_A,Address of process agent for party A,100,None,"[95, 96]",No process agent is mentioned for Party A.
process_agent_B,Process agent for party B,100,FALSE,"[95, 96]","The text states 'Party B appoints as its Process Agent: Not applicable', indicating no process agent for Party B."
process_agent_name_B,Name of process agent for party B,100,None,"[95, 96]","Party B's process agent is 'Not applicable', so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[95, 96]","Party B's process agent is 'Not applicable', so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,TRUE,"[98, 99, 100]",The text explicitly states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,"New York, London, Singapore and Sydney","[98, 99, 100]","The text lists the offices: 'may enter into a Transaction through any of the following offices: New York, London, Singapore and Sydney.'"
multibranch_party_B,Party B is a Multibranch party,100,FALSE,"[98, 99, 100]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[98, 99, 100]","Party B is not a Multibranch Party, so no offices are listed."
calculation_agent,Party for calculation agent,95,A,[101],"The text states 'The Calculation Agent will be Party A, unless it is a Defaulting Party...' indicating Party A is the default Calculation Agent."
governing_law,Governing Law,100,NEW-YORK,[106],The text explicitly states that the Agreement will be governed by the laws of the State of New York.
