key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2011-03-10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of March 10, 2011' in the header."
party_A,Party A,99,"BANK OF AMERICA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A identified as 'BANK OF AMERICA, N.A.' in the introductory section."
party_B,party_B,99,"NATURAL ALTERNATIVES INTERNATIONAL, INC.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B identified as 'NATURAL ALTERNATIVES INTERNATIONAL, INC.' in the introductory section."
specified_entity_A,Specified entity Party A,90,none,"[14, 15, 98, 99]",Text states 'Specified Entity' means in relation to Party A: none.
specified_entity_B,Specified entity Party B,90,any Affiliate of Party B,"[14, 15, 98, 99]",Text states 'Specified Entity' means in relation to Party B: any Affiliate of Party B.
specified_transaction,Specified transaction scope,90,NONSTD,[16],"The text indicates modifications to Section 14's definition of 'Specified Transaction', including additional transactions and amendments, thus it is non-standard."
cross_default,Cross default applicable parties,90,AB,"[17, 18, 19]","Text states 'will apply to Party A and will apply to Party B', indicating both parties are subject to cross-default."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,95,True,"[20, 21]",The text explicitly states that 'Specified Indebtedness' includes 'any obligation in respect of borrowed money'.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,"[20, 21]",The text explicitly excludes 'obligations in respect of deposits received in the ordinary course of a party's banking business' from 'Specified Indebtedness'.
threshold_amount_A_amount,amount for Party A,90,None,[22],"Threshold amount for Party A is specified as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[22],No currency specified for Party A; threshold is given as a percentage of Shareholders' Equity.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[22],Threshold amount for Party A is three percent (3%).
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[22],Threshold amount for Party A is based on Shareholders' Equity of Bank of America Corporation.
threshold_amount_B_amount,amount for Party B,100,0.0,[22],Threshold amount for Party B is zero dollars ($0).
threshold_amount_B_currency,currency for Party B,90,USD,[22],Currency inferred as USD from the dollar sign ($) used for Party B's threshold amount.
threshold_amount_B_percent,percentage for Party B,100,0.0,[22],"Threshold amount for Party B is zero, effectively 0%."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[22],No percentage reference applicable for Party B as threshold is zero amount.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,90,AB,"[24, 25, 26]",The text states that the Credit Event Upon Merger provisions will apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,"[27, 28, 29]",The text explicitly states that the Automatic Early Termination provision will not apply to Party A or Party B.
termination_currency,Termination Currency,95,USD,[30],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 122]","No email address explicitly provided for Party A notices; only physical addresses, telephone, and facsimile numbers are given."
notices_B,Email for notices for Party B,90,None,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 122]",No email address explicitly provided for Party B notices; only the company name is mentioned without contact details.
process_agent_A,Process agent for party A,100,False,"[80, 81, 82]",Text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[80, 81, 82]",No process agent appointed for Party A as it is not applicable.
process_agent_address_A,Address of process agent for party A,100,None,"[80, 81, 82]",No process agent appointed for Party A as it is not applicable.
process_agent_B,Process agent for party B,100,False,"[80, 81, 82]",Text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[80, 81, 82]",No process agent appointed for Party B as it is not applicable.
process_agent_address_B,Address of process agent for party B,100,None,"[80, 81, 82]",No process agent appointed for Party B as it is not applicable.
multibranch_party_A,Party A is a Multibranch party,95,True,"[84, 85, 86]",Text explicitly states Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,90,"Charlotte, North Carolina, Chicago, Illinois, San Francisco, California, New York, New York, Boston, Massachusetts, London, England, Canada Branch located in Toronto, Ontario","[84, 85, 86]",Offices listed in the text for Party A as a Multibranch Party.
multibranch_party_B,Party B is a Multibranch party,95,False,"[84, 85, 86]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[84, 85, 86]",No offices listed for Party B as it is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,[87],Text states 'The Calculation Agent is Party A.'
governing_law,Governing Law,95,NEW-YORK,[93],The text explicitly states the Agreement is governed by the laws of the State of New York.
