key,title,confidence,value,evidence,explanation
date,Date of the contract,90,2006-02-13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Extracted from 'dated as of February 13, 2006'"
party_A,Party A,90,"HSBC Bank USA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Directly stated as Party A in the text
party_B,party_B,90,Volkswagen Auto Loan Enhanced Trust 2007-1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Directly stated as Party B in the text
specified_entity_A,Specified entity Party A,100,None,[11],The text explicitly states 'none specified in relation to either Party A or Party B'
specified_entity_B,Specified entity Party B,100,None,[11],The text explicitly states 'none specified in relation to either Party A or Party B'
specified_transaction,Specified transaction scope,95,STD,[12],"The contract states 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, which indicates a standard definition."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[13],The text explicitly states that Automatic Early Termination will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,100,USD,[35],The text explicitly states 'Termination Currency' means U.S. Dollars.
notices_A,Email for notices for Party A,90,None,"[88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",No email address provided for Party A in the given text.
notices_B,Email for notices for Party B,90,None,"[88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",No email address provided for Party B in the given text.
process_agent_A,Process agent for party A,95,False,"[102, 103]",The text explicitly states 'Not applicable' for Party A's Process Agent.
process_agent_name_A,Name of process agent for party A,95,None,"[102, 103]",No name is provided as the Process Agent is not applicable for Party A.
process_agent_address_A,Address of process agent for party A,95,None,"[102, 103]",No address is provided as the Process Agent is not applicable for Party A.
process_agent_B,Process agent for party B,95,False,"[102, 103]",The text explicitly states 'Not applicable' for Party B's Process Agent.
process_agent_name_B,Name of process agent for party B,95,None,"[102, 103]",No name is provided as the Process Agent is not applicable for Party B.
process_agent_address_B,Address of process agent for party B,95,None,"[102, 103]",No address is provided as the Process Agent is not applicable for Party B.
multibranch_party_A,Party A is a Multibranch party,100,False,"[106, 107, 108]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[106, 107, 108]","Party A is not a Multibranch Party, so no offices are specified."
multibranch_party_B,Party B is a Multibranch party,100,False,"[106, 107, 108]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[106, 107, 108]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,95,B,[109],The text explicitly states 'The Calculation Agent is Party B'
governing_law,Governing Law,100,NEW-YORK,[115],The text explicitly states 'This Agreement will be governed by and construed in accordance with the laws of the State of New York'
cross_default,Cross default applicable parties,90,AB,,"The contract states 'the provisions of Section 5(a)(vi) (Cross Default) will in no circumstances be regarded as having given rise to an Event of Default with respect to Party A and Party B', indicating cross default applies to both parties."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,70,True,,"The contract does not explicitly state that specified indebtedness includes borrowed money, but this is typically the case unless explicitly excluded."
specified_indebtness_deposits,Specified indebtness excludes deposits,70,False,,"The contract does not explicitly state that specified indebtedness excludes deposits, so we assume it is included."
threshold_amount_A_amount,amount for Party A,,None,,The contract does not specify a threshold amount for Party A.
threshold_amount_A_currency,currency for Party A ,,None,,The contract does not specify a threshold currency for Party A.
threshold_amount_A_percent,percentage for Party A ,,None,,The contract does not specify a threshold percentage for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,,None,,The contract does not specify a threshold percentage reference for Party A.
threshold_amount_B_amount,amount for Party B,,None,,The contract does not specify a threshold amount for Party B.
threshold_amount_B_currency,currency for Party B,,None,,The contract does not specify a threshold currency for Party B.
threshold_amount_B_percent,percentage for Party B,,None,,The contract does not specify a threshold percentage for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,,None,,The contract does not specify a threshold percentage reference for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,80,A,,"The contract states 'Party A may not designate an Early Termination Date related to the provisions of Section 5(b)(ii) (Tax Event) or the provisions of Section 5(iii) (Tax Event Upon Merger)', implying that Credit Event Upon Merger only applies to Party A."
