key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2015-12-30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of December 30, 2015' in the heading."
party_A,Party A,99,"CAPITAL ONE, NATIONAL ASSOCIATION","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A explicitly named as 'CAPITAL ONE, NATIONAL ASSOCIATION'."
party_B,party_B,99,"MACK-CALI REALTY, L.P.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B explicitly named as 'MACK-CALI REALTY, L.P.'."
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 60, 61]","Text explicitly states 'Specified Entity' means in relation to Party A, None."
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 60, 61]","Text explicitly states 'Specified Entity' means in relation to Party B, None."
specified_transaction,Specified transaction scope,90,STD,"[11, 74]","The text refers to 'Specified Transaction' as defined in Section 14 without indicating any changes, implying the standard scope as per Section 14."
cross_default,Cross default applicable parties,95,AB,"[12, 13, 14]",The text states that the Cross Default provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,False,[15],"The text specifies exclusion of deposits but does not mention borrowed money, so borrowed money is not included."
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[15],The text explicitly states that specified indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_amount_A_amount,amount for Party A,90,None,[16],"Threshold amount for Party A is specified as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[16],No currency specified for Party A threshold amount as it is a percentage.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[16],Party A threshold amount is 3% of shareholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[16],Percentage reference for Party A is shareholders' equity.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[16],"Party B threshold amount is specified as $50,000,000."
threshold_amount_B_currency,currency for Party B,90,USD,[16],Currency for Party B threshold amount is USD as indicated by '$' symbol.
threshold_amount_B_percent,percentage for Party B,90,None,[16],"Threshold amount for Party B is specified as a fixed amount, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[16],No percentage reference for Party B as threshold is a fixed amount.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[17],"The text states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B, indicating both parties are applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[18],Text explicitly states that Automatic Early Termination provision will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,95,USD,[19],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,99,tradingops@capitalone.com,"[39, 40, 41, 42, 43, 44, 45]",Email explicitly provided under Address for notices to Party A.
notices_B,Email for notices for Party B,95,bfitzpatrick@mack-cali.com,"[39, 40, 41, 42, 43, 44, 45]",Primary email for Party B provided; also a copy to another email but primary is bfitzpatrick@mack-cali.com.
process_agent_A,Process agent for party A,100,False,"[46, 47, 48]",Text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[46, 47, 48]",No process agent name provided for Party A as it is not applicable.
process_agent_address_A,Address of process agent for party A,100,None,"[46, 47, 48]",No process agent address provided for Party A as it is not applicable.
process_agent_B,Process agent for party B,100,False,"[46, 47, 48]",Text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[46, 47, 48]",No process agent name provided for Party B as it is not applicable.
process_agent_address_B,Address of process agent for party B,100,None,"[46, 47, 48]",No process agent address provided for Party B as it is not applicable.
multibranch_party_A,Party A is a Multibranch party,100,False,"[50, 51, 52]",Explicitly stated 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,,None,"[50, 51, 52]",No offices information provided as Party A is not a Multibranch Party.
multibranch_party_B,Party B is a Multibranch party,100,False,"[50, 51, 52]",Explicitly stated 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,,None,"[50, 51, 52]",No offices information provided as Party B is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,[53],The text states 'The Calculation Agent is Party A' explicitly.
governing_law,Governing Law,95,NEW-YORK,[56],The text explicitly states the agreement is governed by the law of the State of New York.
