key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2015-01-13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly stated as 'dated as of January 13, 2015'."
party_A,Party A,100,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is clearly identified as 'The Bank of Tokyo-Mitsubishi UFJ, Ltd.' in the contract."
party_B,party_B,100,Booz Allen Hamilton Inc.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is clearly identified as 'Booz Allen Hamilton Inc.' in the contract.
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 11, 88, 89]","The text explicitly states: 'Specified Entity means in relation to Party A, None.'"
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 11, 88, 89]","The text explicitly states: 'Specified Entity means in relation to Party B, None.'"
specified_transaction,Specified transaction scope,100,STD,"[12, 101]","The text states that 'Specified Transaction' will have the meaning specified in Section 14, and there is no indication of any modification to that definition, indicating the standard scope."
cross_default,Cross default applicable parties,100,AB,"[13, 14, 15]","The text states that the 'Cross Default' provisions will apply to Party A and will apply to Party B, indicating both parties are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[16],The text does not mention 'borrowed money' or whether it is included or excluded from Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,TRUE,[16],The text explicitly states that Specified Indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_amount_A_amount,amount for Party A,100,None,[17],No fixed amount is specified for Party A; the threshold is defined as a percentage.
threshold_amount_A_currency,currency for Party A ,100,None,[17],No specific currency is stated for Party A's threshold amount; it is defined as a percentage of shareholders' equity.
threshold_amount_A_percent,percentage for Party A ,100,3,[17],The text states 'an amount equal to 3% of the shareholders' equity of Party A'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[17],The reference for the percentage is 'shareholders' equity of Party A'.
threshold_amount_B_amount,amount for Party B,100,50000000,[17],"The text states 'in relation to Party B, $50,000,000.'"
threshold_amount_B_currency,currency for Party B,100,USD,[17],The '$' symbol in the context of ISDA agreements refers to US Dollars.
threshold_amount_B_percent,percentage for Party B,100,None,[17],No percentage threshold is specified for Party B; only a fixed amount is provided.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,[17],No percentage threshold is specified for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,NONE,[18],The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply to Party A and will not apply to Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[19],"The text states that Automatic Early Termination will not apply to Party A and will not apply to Party B, so it applies to no party."
termination_currency,Termination Currency,100,USD,[20],"The text explicitly states that 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,100,None,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","No email address is provided for Party A in the provided text; only physical address, facsimile, and telephone are listed."
notices_B,Email for notices for Party B,100,None,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","No email address is provided for Party B in the provided text; only physical address, telecopy, and telephone are listed."
process_agent_A,Process agent for party A,100,FALSE,"[70, 71, 72]",The text states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[70, 71, 72]","Process agent is not applicable for Party A, so no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[70, 71, 72]","Process agent is not applicable for Party A, so no address is provided."
process_agent_B,Process agent for party B,100,FALSE,"[70, 71, 72]",The text states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[70, 71, 72]","Process agent is not applicable for Party B, so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[70, 71, 72]","Process agent is not applicable for Party B, so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,FALSE,"[74, 75, 76]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[74, 75, 76]","Party A is not a Multibranch Party, so no offices are specified."
multibranch_party_B,Party B is a Multibranch party,100,FALSE,"[74, 75, 76]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[74, 75, 76]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,100,A,[77],"The text explicitly states 'The Calculation Agent is Party A', with a provision for substitution only in case of an Event of Default with respect to Party A."
governing_law,Governing Law,100,NEW-YORK,[84],The text explicitly states that the Agreement will be governed by the law of the State of New York.
