key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2020-04-02,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of April 2, 2020' in the contract header."
party_A,Party A,100,"HSBC BANK USA, NATIONAL ASSOCIATION","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A named explicitly as 'HSBC BANK USA, NATIONAL ASSOCIATION' in the contract."
party_B,party_B,100,"ADVANCED ENERGY INDUSTRIES, INC.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B named explicitly as 'ADVANCED ENERGY INDUSTRIES, INC.' in the contract."
specified_entity_A,Specified entity Party A,100,None,"[18, 19, 20, 21, 107, 108]",Text explicitly states 'Specified Entity' means none for Party A.
specified_entity_B,Specified entity Party B,100,None,"[18, 19, 20, 21, 107, 108]",Text explicitly states 'Specified Entity' means none for Party B.
specified_transaction,Specified transaction scope,90,STD,[22],"The text states that 'Specified Transaction' has the meaning specified in Section 14, indicating the standard definition as per Section 14, thus 'STD' applies."
cross_default,Cross default applicable parties,95,AB,"[23, 27]",The text states that the 'Cross-Default' provisions of Section 5(a)(vi) will apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,80,None,[25],The text does not explicitly mention borrowed money as included or excluded in Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[25],The text explicitly states that Specified Indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_amount_A_amount,amount for Party A,90,None,[26],"Threshold amount for Party A is expressed as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[26],Currency is not fixed; it is 'or its equivalent in any other currency'.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[26],Threshold amount for Party A is 3% of Party A's shareholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[26],Percentage reference is Party A's shareholders' equity as stated.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[26],"Threshold amount for Party B is USD 50,000,000 as stated."
threshold_amount_B_currency,currency for Party B,100,USD,[26],Currency for Party B's threshold amount is USD as stated.
threshold_amount_B_percent,percentage for Party B,90,None,[26],"Threshold amount for Party B is a fixed amount, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[26],No percentage reference for Party B as threshold is a fixed amount.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[30],"The text states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B, indicating both parties are applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[31],Text explicitly states that Automatic Early Termination provision will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,95,USD,[32],"The text states 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,99,HBUS.ISDA.NOTICES@us.hsbc.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]",Email explicitly stated under Party A's address for notices.
notices_B,Email for notices for Party B,95,chris.hanson@aei.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]",Primary email for Party B's notices is given as chris.hanson@aei.com; other emails are copies and do not constitute notice.
process_agent_A,Process agent for party A,100,False,"[89, 90, 91]",Text states 'Party A appoints as its Process Agent: Not Applicable.' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,100,None,"[89, 90, 91]","No process agent appointed for Party A, so no name provided."
process_agent_address_A,Address of process agent for party A,100,None,"[89, 90, 91]","No process agent appointed for Party A, so no address provided."
process_agent_B,Process agent for party B,100,False,"[89, 90, 91]",Text states 'Party B appoints as its Process Agent: Not Applicable.' indicating no process agent for Party B.
process_agent_name_B,Name of process agent for party B,100,None,"[89, 90, 91]","No process agent appointed for Party B, so no name provided."
process_agent_address_B,Address of process agent for party B,100,None,"[89, 90, 91]","No process agent appointed for Party B, so no address provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[93, 94, 95]",Text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,,None,"[93, 94, 95]",No offices information provided as Party A is not a Multibranch Party.
multibranch_party_B,Party B is a Multibranch party,100,False,"[93, 94, 95]",Text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,,None,"[93, 94, 95]",No offices information provided as Party B is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,[96],"The text states that the Calculation Agent is Party A, except if an Event of Default occurs with respect to Party A, then an independent Reference Market-maker selected by Party B and approved by Party A acts as Calculation Agent temporarily. Therefore, the primary Calculation Agent is Party A."
governing_law,Governing Law,100,NEW-YORK,[103],The text explicitly states the Agreement is governed by the laws of the State of New York.
