key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2010-05-28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states '2002 Master Agreement dated as of May 28, 2010', which clearly indicates the contract date."
party_A,Party A,100,SOCIÉTÉ GÉNÉRALE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'SOCIÉTÉ GÉNÉRALE a company incorporated under the laws of France (""Party A"")', directly identifying Party A."
party_B,party_B,100,"CINEDIGM DIGITAL FUNDING I, LLC","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'CINEDIGM DIGITAL FUNDING I, LLC a limited liability company formed under the laws of the State of Delaware (""Party B"")', directly identifying Party B."
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 94, 95]","The text explicitly states: 'Specified Entity' means in relation to Party A, None."
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 94, 95]","The text explicitly states: 'Specified Entity' means in relation to Party B, None."
specified_transaction,Specified transaction scope,95,STD,"[18, 111]","The text states that 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, indicating the standard definition is used."
cross_default,Cross default applicable parties,100,AB,"[19, 20]","The text states that the 'Cross-Default' provisions will apply to Party A and to Party B, indicating both parties are subject to these provisions."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[21],"The text does not explicitly mention 'borrowed money' as included or excluded in Specified Indebtedness. It references Section 14 of the Agreement for the definition and lists some inclusions and exclusions, but not borrowed money specifically."
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[21],"The text states that Specified Indebtedness 'shall exclude indebtedness in respect of deposits received in the ordinary course of business,' which directly answers the question."
threshold_amount_A_amount,amount for Party A,100,None,"[22, 23]","For Party A, the threshold is defined as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,100,None,"[22, 23]","No currency is specified for Party A, as the threshold is a percentage of shareholder's equity."
threshold_amount_A_percent,percentage for Party A ,100,3.0,"[22, 23]",The text states 'an amount equal to 3% of shareholder's equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[22, 23]","The reference is explicitly 'shareholder's equity', matching the SHAREHOLDER enum."
threshold_amount_B_amount,amount for Party B,100,250000.0,"[22, 23]","For Party B, the threshold is USD 250,000 for certain defaults."
threshold_amount_B_currency,currency for Party B,100,USD,"[22, 23]","The amount for Party B is specified as USD 250,000."
threshold_amount_B_percent,percentage for Party B,100,None,"[22, 23]",No percentage threshold is specified for Party B; only fixed amounts are given.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,"[22, 23]","No percentage threshold is specified for Party B, so no reference applies."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,[24],The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[25],"The text states that Automatic Early Termination will not apply to Party A or Party B, so it is not applicable to either party."
termination_currency,Termination Currency,100,USD,[26],The text explicitly states: 'Termination Currency' means United States Dollars (USD).
notices_A,Email for notices for Party A,95,None,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","No email address is provided for Party A in any of the notice sections; only physical addresses, telephone, SWIFT, and telex are listed."
notices_B,Email for notices for Party B,100,gloffredo@cinedigm.com,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",The text explicitly lists an E-mail for Party B: gloffredo@cinedigm.com.
process_agent_A,Process agent for party A,100,True,"[70, 71, 72, 73, 74, 75, 76]","The text states 'Party A appoints as its Process Agent: SOCIÉTÉ GÉNÉRALE, New York Branch', confirming a process agent is applicable for Party A."
process_agent_name_A,Name of process agent for party A,100,"SOCIÉTÉ GÉNÉRALE, New York Branch","[70, 71, 72, 73, 74, 75, 76]",The name is explicitly listed after 'Party A appoints as its Process Agent:'.
process_agent_address_A,Address of process agent for party A,100,"1221 Avenue of the Americas, New York, NY 10020, Attention: General Counsel's Office.","[70, 71, 72, 73, 74, 75, 76]",The address is provided directly after the process agent's name for Party A.
process_agent_B,Process agent for party B,100,False,"[70, 71, 72, 73, 74, 75, 76]","The text states 'Party B appoints as its Process Agent: None.', indicating no process agent for Party B."
process_agent_name_B,Name of process agent for party B,100,None,"[70, 71, 72, 73, 74, 75, 76]","Since Party B has no process agent, there is no name to extract."
process_agent_address_B,Address of process agent for party B,100,None,"[70, 71, 72, 73, 74, 75, 76]","Since Party B has no process agent, there is no address to extract."
multibranch_party_A,Party A is a Multibranch party,100,True,"[78, 79, 80]",The text states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,Head Office and any of its branch Offices worldwide,"[78, 79, 80]",The text specifies Party A may enter into a Transaction through its Head Office and any of its branch Offices worldwide.
multibranch_party_B,Party B is a Multibranch party,100,False,"[78, 79, 80]",The text states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[78, 79, 80]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,100,Party A,[81],"The text explicitly states 'The Calculation Agent is Party A, unless otherwise specified in a Confirmation.'"
governing_law,Governing Law,100,NEW-YORK,[87],The text explicitly states that the agreement is governed by the laws of the State of New York.
