key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2020-04-02,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states 'dated as of April 2, 2020', which is the standard way to indicate the contract date."
party_A,Party A,100,"HSBC BANK USA, NATIONAL ASSOCIATION","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'HSBC BANK USA, NATIONAL ASSOCIATION' as Party A."
party_B,party_B,100,"ADVANCED ENERGY INDUSTRIES, INC.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'ADVANCED ENERGY INDUSTRIES, INC.' as Party B."
specified_entity_A,Specified entity Party A,100,None,"[18, 19, 20, 21, 107, 108]",The text explicitly states that the Specified Entity for Party A is 'None.'
specified_entity_B,Specified entity Party B,100,None,"[18, 19, 20, 21, 107, 108]",The text explicitly states that the Specified Entity for Party B is 'None.'
specified_transaction,Specified transaction scope,100,STD,[22],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, indicating the standard definition is used."
cross_default,Cross default applicable parties,100,AB,"[23, 24, 27]","The text states that the Cross-Default provisions will apply to Party A and will apply to Party B, indicating both parties are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[25],The text does not explicitly mention whether 'borrowed money' is included in Specified Indebtedness; it only specifies certain exclusions.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[25],The text explicitly states that Specified Indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_amount_A_amount,amount for Party A,100,None,[26],No fixed amount is specified for Party A; only a percentage is given.
threshold_amount_A_currency,currency for Party A ,100,None,[26],"No specific currency is stated for Party A; it is referenced as a percentage of shareholders' equity, which could be in any currency."
threshold_amount_A_percent,percentage for Party A ,100,3.0,[26],The text states 'an amount equal to three percent (3%) of Party A's shareholders' equity'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[26],The percentage is referenced to 'Party A's shareholders' equity'.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[26],"The text states 'Party B, USD 50,000,000'."
threshold_amount_B_currency,currency for Party B,100,USD,[26],"The amount for Party B is specified as 'USD 50,000,000'."
threshold_amount_B_percent,percentage for Party B,100,None,[26],No percentage threshold is specified for Party B; only a fixed amount is given.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,[26],No percentage threshold is specified for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[30],"The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and will apply to Party B, indicating both parties are applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[31],The text explicitly states that Automatic Early Termination will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,100,USD,[32],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,100,HBUS.ISDA.NOTICES@us.hsbc.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]","The text specifies 'E-mail: HBUS.ISDA.NOTICES@us.hsbc.com' under the section for Party A (HSBC Bank USA, National Association)."
notices_B,Email for notices for Party B,100,chris.hanson@aei.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]","The text specifies 'E-mail: chris.hanson@aei.com' under the section for Party B (Advanced Energy Industries, Inc.), with additional emails for copies but not as the primary notice address."
process_agent_A,Process agent for party A,100,False,"[89, 90, 91]",The text explicitly states 'Party A appoints as its Process Agent: Not Applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[89, 90, 91]","Process agent is not applicable for Party A, so no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[89, 90, 91]","Process agent is not applicable for Party A, so no address is provided."
process_agent_B,Process agent for party B,100,False,"[89, 90, 91]",The text explicitly states 'Party B appoints as its Process Agent: Not Applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[89, 90, 91]","Process agent is not applicable for Party B, so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[89, 90, 91]","Process agent is not applicable for Party B, so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[93, 94, 95]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[93, 94, 95]","Party A is not a Multibranch Party, so no offices are specified."
multibranch_party_B,Party B is a Multibranch party,100,False,"[93, 94, 95]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[93, 94, 95]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,100,A,[96],"The text states 'Calculation Agent is Party A' for business as usual situations, with alternatives only if an Event of Default occurs."
governing_law,Governing Law,100,NEW-YORK,[103],The text explicitly states that the agreement shall be governed by the laws of the State of New York.
