filename,contract_type,contract_type_confidence,contract_type_explanation,contract_date,contract_date_confidence,contract_date_explanation,amendment_date,amendment_date_confidence,amendment_date_explanation,version_type,version_type_confidence,version_type_explanation,status,status_confidence,status_explanation,parties,parties_confidence,parties_explanation
00fb0862161354c996ba812525e0c209.txt,ISDA,99,"Document is titled 'ISDA MASTER AGREEMENT' and references Schedule and Confirmations, consistent with ISDA Master Agreement.",2010-02-04,99,"Contract date explicitly stated as 'dated as of February 4, 2010'.",,100,No indication that this document is an amendment; it is the initial master agreement.,INITIAL,99,"Document is the initial ISDA Master Agreement, not an amendment or restatement.",EXECUTED,90,"Document is dated and presented as an executed agreement, no indication it is draft.","BARCLAYS BANK PLC | Party A; NATIONAL CINEMEDIA, LLC | Party B",95,"Parties named as BARCLAYS BANK PLC and NATIONAL CINEMEDIA, LLC ('Party B') in the introductory paragraph."
013f592ccc84517182f4c5a3b7641149.txt,GMRA,99,"The document is titled 'AMENDED AND RESTATED GLOBAL MASTER REPURCHASE AGREEMENT', indicating it is a GMRA.",2013-04-23,99,"The agreement is dated as of April 23, 2013.",,100,"This document is an amended and restated agreement, not a standalone amendment, so no separate amendment date.",RESTATED,99,"The document is titled 'AMENDED AND RESTATED GLOBAL MASTER REPURCHASE AGREEMENT', indicating a restated version.",EXECUTED,95,"The document is dated and presented as a formal agreement, indicating it is executed rather than draft.","JPMORGAN CHASE BANK, N.A., LONDON BRANCH | Party A; RACE STREET FUNDING LLC | Party B",99,Parties are explicitly named as Party A and Party B in the introductory section.
025cb4065e6e551db1bfe44ef44eb83b.txt,ISDA,99,Document is titled 'ISDA MASTER AGREEMENT' and references Schedule and Confirmations typical of ISDA Master Agreements.,2008-09-12,99,"The Master Agreement is dated as of September 12, 2008, stated explicitly in the text.",,100,No indication that this document is an amendment; it appears to be the initial Master Agreement.,INITIAL,98,"Document is the original ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,"The document is presented as a dated Master Agreement, indicating execution rather than draft.",Barclays Bank PLC; World Financial Network Credit Card | Party A; Master Note Trust | Party B,95,"Parties named explicitly as Barclays Bank PLC, World Financial Network Credit Card (Party A), and Master Note Trust (Party B). Roles given for Party A and Party B; Barclays Bank PLC role not specified."
051bb5d2c633574eb9aab46bc62231ab.txt,VSA,95,"Document is titled '2016 Credit Support Annex for Variation Margin (VM)' and references ISDA Master Agreement, indicating it is a Credit Support Annex (VSA).",2017-07-12,90,"ISDA Master Agreement date referenced as July 12, 2017, which is the primary contract date for this annex.",,100,"No amendment date is specified; document is an annex, not an amendment.",INITIAL,85,"Document is a Credit Support Annex supplementing the ISDA Master Agreement, indicating initial annex rather than amendment or restatement.",EXECUTED,80,"Document is presented as an exhibit and includes definitive terms, implying executed status rather than draft.","JPMORGAN CHASE BANK, N.A. | Party A; SECOR MASTER FUND L.P. | Party B",99,"Parties clearly identified as JPMORGAN CHASE BANK, N.A. (Party A) and SECOR MASTER FUND L.P. (Party B)."
057d9f25d7635925b66afd94be03fa10.txt,ISDA,99,"The document is titled 'ISDA MASTER AGREEMENT' and references the International Swap Dealers Association, indicating it is an ISDA Master Agreement.",2008-10-27,98,"The agreement is dated as of October 27, 2008, which is the main contract date.",,100,No amendment date is mentioned; this appears to be the initial master agreement.,INITIAL,99,"The document is the original ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,"The document is dated and presented as a finalized agreement, indicating executed status rather than draft.",BRANCH BANKING AND TRUST COMPANY | Party A; ROANOKE GAS COMPANY | Party B,95,Parties are explicitly named as 'BRANCH BANKING AND TRUST COMPANY' (Party A) and 'ROANOKE GAS COMPANY' (Party B) in the document.
072e2c5f957e5bce8aea0b2f6e82b01d.txt,ISDA,99,"Document is titled '2002 MASTER AGREEMENT' by ISDA and references Schedule and Confirmations, indicating an ISDA Master Agreement.",2022-06-13,99,"The agreement is dated as of June 13th, 2022, stated explicitly at the beginning.",,100,No amendment date is mentioned; document appears to be the initial master agreement.,INITIAL,98,"Document is the original 2002 Master Agreement, indicating an initial contract.",EXECUTED,90,"The document is presented as a dated agreement with parties named, indicating it is executed rather than draft.",SOCIETE GENERALE | Party A; Each entity listed on Appendix I to the Schedule hereto | Party B,95,"Parties are SOCIETE GENERALE as Party A and multiple entities listed in Appendix I as Party B, as stated in the introductory paragraph."
07723bbef4c15ad594583954bfe733e5.txt,ISDA,100,"Document is titled 'ISDA International Swap Dealers Association, Inc. MASTER AGREEMENT' indicating an ISDA Master Agreement.",2008-04-23,100,"The agreement is dated as of April 23, 2008, stated at the beginning of the document.",,100,No indication that this document is an amendment; it appears to be the initial master agreement.,INITIAL,100,"Document is the original master agreement, not an amendment or restatement.",EXECUTED,80,"The agreement is dated and refers to parties having entered or anticipating transactions, indicating an executed status rather than draft.","HSBC BANK USA, National Association | Party; Nissan Auto Lease Trust 2008-A | Party",90,"Parties named as entering into the Master Agreement are HSBC BANK USA, National Association and Nissan Auto Lease Trust 2008-A."
07fa350f98f25961a33573aabd9da6d6.txt,ISDA,99,"The document is titled 'ISDA MASTER AGREEMENT' and references the International Swap Dealers Association, indicating it is an ISDA Master Agreement.",2005-02-22,98,"The agreement is dated as of February 22, 2005, stated at the beginning of the document.",,100,No indication that this document is an amendment; it appears to be the initial master agreement.,INITIAL,99,"Document is the initial ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,Document is labeled 'Execution copy' indicating it is an executed version.,"GREENWICH CAPITAL DERIVATIVES, INC.; NOVASTAR MORTGAGE SUPPLEMENTAL INTEREST TRUST, SERIES 2005-1, a New York common law trust | Party A",95,"Parties named at the beginning: Greenwich Capital Derivatives, Inc. and Novastar Mortgage Supplemental Interest Trust, Series 2005-1 (Party A). Party B role is not explicitly stated."
0a0acc69e9325b0e94a7611d0ce572d0.txt,SWAP,95,The document is titled 'SWAP TRANSFER AND ASSIGNMENT AGREEMENT' indicating it is related to a Currency Swap Agreement.,2012-04-12,99,"The agreement is dated as of April 12, 2012, which is the main date associated with the contract.",,100,"This document is a transfer and assignment agreement, not an amendment, so no amendment date applies.",AMENDMENT,85,"The document is a transfer and assignment agreement related to an existing swap, effectively an amendment to the original swap agreement.",EXECUTED,90,"The document includes executed signatures and dates, indicating it is an executed agreement.","Merrill Lynch International | Assignee; Merrill Lynch Capital Services, Inc. | Assignor",98,"The parties are Merrill Lynch International (MLI) and Merrill Lynch Capital Services, Inc. (MLCS), with MLI accepting transfer from MLCS."
0b4058ba0dcd589c94e0ef1969f2fe13.txt,ISDA,99,"Document is titled 'ISDA MASTER AGREEMENT' and references Schedule and Confirmations, indicating an ISDA Master Agreement.",2012-11-15,99,"Contract date explicitly stated as 'dated as of November 15, 2012'.",,100,No indication that this document is an amendment; it is the initial master agreement.,INITIAL,99,"Document is the initial ISDA Master Agreement, not an amendment or restatement.",EXECUTED,90,Document is presented as executed agreement with a specific date; no indication it is draft.,THE BANK OF NOVA SCOTIA; HALIFAX FUNDING LLC,95,Parties named as THE BANK OF NOVA SCOTIA and HALIFAX FUNDING LLC in the introductory paragraph.
