key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2015-01-13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of January 13, 2015' in the header."
party_A,Party A,98,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A named explicitly as 'The Bank of Tokyo-Mitsubishi UFJ, Ltd.' in the header."
party_B,party_B,98,Booz Allen Hamilton Inc.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B named explicitly as 'Booz Allen Hamilton Inc.' in the header.
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 11, 88, 89]","Text explicitly states 'Specified Entity' means in relation to Party A, None."
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 11, 88, 89]","Text explicitly states 'Specified Entity' means in relation to Party B, None."
specified_transaction,Specified transaction scope,90,STD,"[12, 101]","The text refers to Section 14 for the meaning of 'Specified Transaction' and does not indicate any changes to Section 14, implying the standard scope applies."
cross_default,Cross default applicable parties,95,AB,"[13, 14, 15]",The text states that the Cross Default provisions apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,0,None,[16],No mention of borrowed money inclusion or exclusion in the provided text.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[16],"Text explicitly states that Specified Indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business, indicating deposits are excluded."
threshold_amount_A_amount,amount for Party A,90,None,[17],"Threshold amount for Party A is defined as a percentage (3%) of shareholders' equity, no fixed amount given."
threshold_amount_A_currency,currency for Party A ,80,None,[17],Currency not explicitly stated for Party A; amount is a percentage of shareholders' equity which may be in another currency.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[17],Threshold amount for Party A is 3% of shareholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[17],Percentage reference for Party A is shareholders' equity as stated.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[17],"Threshold amount for Party B is explicitly stated as $50,000,000."
threshold_amount_B_currency,currency for Party B,90,USD,[17],Currency for Party B is USD as indicated by the dollar sign ($).
threshold_amount_B_percent,percentage for Party B,90,None,[17],No percentage threshold amount stated for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[17],No percentage reference stated for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,NONE,[18],The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply to Party A and will not apply to Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[19],The text explicitly states that the Automatic Early Termination provision will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,95,USD,[20],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","No email address provided for Party A; only physical address, attention, fax, and telephone numbers are given."
notices_B,Email for notices for Party B,90,None,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","No email address provided for Party B; only physical addresses, attention, fax, and telephone numbers are given."
process_agent_A,Process agent for party A,0,None,"[60, 61]",No information about process agent for Party A in the provided text.
process_agent_name_A,Name of process agent for party A,0,None,"[60, 61]",No process agent name for Party A found in the text.
process_agent_address_A,Address of process agent for party A,0,None,"[60, 61]",No process agent address for Party A found in the text.
process_agent_B,Process agent for party B,0,None,"[60, 61]",No information about process agent for Party B in the provided text.
process_agent_name_B,Name of process agent for party B,0,None,"[60, 61]",No process agent name for Party B found in the text.
process_agent_address_B,Address of process agent for party B,0,None,"[60, 61]",No process agent address for Party B found in the text.
multibranch_party_A,Party A is a Multibranch party,0,None,[66],No information about Party A being a multibranch party in the provided text.
multibranch_party_A_offices,Party A offices,0,None,[66],No information about Party A offices in the provided text.
multibranch_party_B,Party B is a Multibranch party,0,None,[66],No information about Party B being a multibranch party in the provided text.
multibranch_party_B_offices,Party B offices,0,None,[66],No information about Party B offices in the provided text.
calculation_agent,Party for calculation agent,90,A,"[67, 77]","The text states that the Calculation Agent is Party A unless an Event of Default occurs with Party A, then Party B may appoint a Leading Dealer as substitute. The primary Calculation Agent is Party A."
governing_law,Governing Law,95,NEW-YORK,"[73, 84]",The text explicitly states the Agreement is governed by the law of the State of New York.
