key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2005-08-11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of August 11, 2005' in the contract."
party_A,Party A,95,"BANK OF AMERICA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'BANK OF AMERICA, N.A.' in the contract."
party_B,party_B,95,"KATY INDUSTRIES, INC.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'KATY INDUSTRIES, INC.' in the contract."
specified_entity_A,Specified entity Party A,100,None,"[14, 15, 16, 17]",The contract explicitly states 'None' for Specified Entity in relation to Party A.
specified_entity_B,Specified entity Party B,100,None,"[14, 15, 16, 17]",The contract explicitly states 'None' for Specified Entity in relation to Party B.
specified_transaction,Specified transaction scope,95,STD,[18],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, which aligns with the 'Standard' definition."
cross_default,Cross default applicable parties,95,AB,"[19, 20, 21, 107, 108]",The text explicitly states that the 'Cross-Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,True,[22],"The definition of 'Specified Indebtedness' includes 'any obligation in respect of the payment of moneys', which implies borrowed money is included."
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[22],The text explicitly states that 'Specified Indebtedness' shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_amount_A_amount,amount for Party A,90,None,[23],No specific monetary amount mentioned for Party A.
threshold_amount_A_currency,currency for Party A ,90,None,[23],No currency specified for Party A's threshold amount.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[23],Explicitly mentioned as three percent (3%) for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[23],Referenced as Shareholders' Equity for Party A.
threshold_amount_B_amount,amount for Party B,100,1000000.0,[23],"Explicitly mentioned as $1,000,000.00 for Party B."
threshold_amount_B_currency,currency for Party B,90,USD,[23],The dollar sign ($) indicates USD for Party B.
threshold_amount_B_percent,percentage for Party B,90,None,[23],No percentage mentioned for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[23],No percentage reference mentioned for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,"[27, 28, 29]",The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,"[30, 31, 32]",The text explicitly states that the 'Automatic Early Termination' provision will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[33],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,70,None,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]",The provided text does not include an email address for notices for Party A. Only physical addresses and attention lines are mentioned.
notices_B,Email for notices for Party B,70,None,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]",The provided text does not include an email address for notices for Party B. Only a physical address is provided.
process_agent_A,Process agent for party A,100,False,"[73, 74, 75]",The text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[73, 74, 75]","Since process agent is not applicable for Party A, no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[73, 74, 75]","Since process agent is not applicable for Party A, no address is provided."
process_agent_B,Process agent for party B,100,False,"[73, 74, 75]",The text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[73, 74, 75]","Since process agent is not applicable for Party B, no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[73, 74, 75]","Since process agent is not applicable for Party B, no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[77, 78, 79]",The text explicitly states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,"Charlotte, North Carolina, Chicago, Illinois, San Francisco, California, New York, New York, Boston, Massachusetts","[77, 78, 79]",The offices are listed directly after stating Party A is a Multibranch Party.
multibranch_party_B,Party B is a Multibranch party,100,False,"[77, 78, 79]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[77, 78, 79]","Since Party B is not a Multibranch Party, there are no offices listed."
calculation_agent,Party for calculation agent,90,A,"[80, 81]",The text explicitly states 'The Calculation Agent is Party A'.
governing_law,Governing Law,95,NEW-YORK,[88],The text explicitly states that the agreement is governed by the laws of the State of New York.
