key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,95,any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation,"[9, 10, 11]",The text explicitly defines Specified Entity for Party A as any Affiliate for Section 5(a)(v) except J.P. Morgan Ventures Energy Corporation.
specified_entity_B,Specified entity Party B,100,None,"[9, 10, 11]",The text explicitly states that Specified Entity in relation to Party B is not applicable.
specified_transaction,Specified transaction scope,95,NONSTD,"[12, 129, 197, 198]","The text explicitly states amendments to the definition of 'Specified Transaction' in Section 14, including the addition of 'margin loan' and other clarifications, indicating a non-standard scope."
cross_default,Cross default applicable parties,90,AB,"[13, 16, 17]","The text states that the 'Cross-Default' provisions will apply, but does not specify only one party. In ISDA Schedules, if not limited, this typically means both parties (Party A and Party B)."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,20,None,[14],The text does not mention whether 'borrowed money' is included in Specified Indebtedness; no information is provided.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[14],"The text explicitly states that Specified Indebtedness shall exclude, in relation to Party A, any deposits received in the ordinary course of business."
threshold_A,Threshold amount for Party A,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount stated for Party A; threshold is percentage-based.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': 'No currency specified; threshold is percentage-based.'}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': 'Explicitly stated as 3% for Party A.'}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""Explicitly stated as 'total shareholders' equity', which matches the SHAREHOLDER enum.""}}",[15],All information is explicitly stated in the provided text for Party A.
threshold_B,Threshold amount for Party B,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount stated for Party B; threshold is percentage-based.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': 'No currency specified; threshold is percentage-based.'}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': 'Explicitly stated as 3% for Party B.'}, 'percent_reference': {'value': 'NAV', 'confidence': 1.0, 'explanation': ""Explicitly stated as 'Net Asset Value', which matches the NAV enum.""}}",[15],All information is explicitly stated in the provided text for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,NONE,[19],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply, indicating no party is applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[20],"The text explicitly states that the 'Automatic Early Termination' provisions will not apply, indicating it is not applicable to any party."
termination_currency,Termination Currency,100,USD,[18],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 87]","The text provides a facsimile number and physical address for Party A (JPMorgan Chase Bank, N.A.), but does not specify an email address for notices. The only mention of email is for Net Asset Value statements, not for notices under Sections 5 or 6."
notices_B,Email for notices for Party B,100,Patrick.egan@morganstanley.com,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 87]",The text explicitly states 'Email: Patrick.egan@morganstanley.com' for notices to Party B.
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party A's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party A, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party A, so no address is provided.'}}","[88, 89, 90]",Both the name and address are not applicable as per the text.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party B's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party B, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party B, so no address is provided.'}}","[88, 89, 90]",Both the name and address are not applicable as per the text.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': None, 'confidence': 0.9, 'explanation': 'The text says Party A may act through any Office specified in a Confirmation, but does not list specific offices.'}}","[92, 93, 94]",Both the status and office information are directly addressed in the text.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[92, 93, 94]",The text directly states Party B is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,"[133, 134, 135, 137, 138, 139, 140, 141, 142, 143, 145, 146, 147, 148, 149, 150]","The text explicitly states that, except as otherwise provided, the Calculation Agent will be Party A. This is a direct statement with high confidence."
governing_law,Governing Law,100,NEW-YORK,[100],The text explicitly states that the agreement will be governed by the laws of the State of New York.
