key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2006-02-13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of February 13, 2006' in the contract."
party_A,Party A,95,"HSBC Bank USA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'HSBC Bank USA, N.A.' in the contract text."
party_B,party_B,95,Volkswagen Auto Loan Enhanced Trust 2007-1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is identified as 'Volkswagen Auto Loan Enhanced Trust 2007-1' in the contract text.
specified_entity_A,Specified entity Party A,100,None,[11],The text explicitly states 'none specified in relation to either Party A or Party B.'
specified_entity_B,Specified entity Party B,100,None,[11],The text explicitly states 'none specified in relation to either Party A or Party B.'
specified_transaction,Specified transaction scope,90,STD,[12],"The text explicitly states that 'Specified Transaction' will have the meaning specified in Section 14, which aligns with the 'Standard' definition."
cross_default,Cross default applicable parties,90,B,[10],"The text specifies that Section 5(a)(vi) (Cross Default) will not apply to Party A, implying that it applies to Party B."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,,None,[8],The text provided does not contain information regarding the applicable parties for a Credit Event Upon Merger.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[13],The text explicitly states that Automatic Early Termination does not apply to Party A and Party B.
termination_currency,Termination Currency,100,USD,"[23, 35]","The text explicitly states 'Termination Currency' means U.S. Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,80,None,"[88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 104]",The provided text does not include an email address for notices for Party A.
notices_B,Email for notices for Party B,80,None,"[88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 104]",The provided text does not include an email address for notices for Party B.
process_agent_A,Process agent for party A,100,False,"[102, 103]",The text explicitly states 'Party A appoints as its Process Agent Not applicable'.
process_agent_name_A,Name of process agent for party A,100,None,"[102, 103]","Since process agent is not applicable for Party A, no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[102, 103]","Since process agent is not applicable for Party A, no address is provided."
process_agent_B,Process agent for party B,100,False,"[102, 103]",The text explicitly states 'Party B appoints as its Process Agent Not applicable'.
process_agent_name_B,Name of process agent for party B,100,None,"[102, 103]","Since process agent is not applicable for Party B, no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[102, 103]","Since process agent is not applicable for Party B, no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[106, 107, 108]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[106, 107, 108]","Since Party A is not a Multibranch Party, there are no offices specified."
multibranch_party_B,Party B is a Multibranch party,100,False,"[106, 107, 108]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[106, 107, 108]","Since Party B is not a Multibranch Party, there are no offices specified."
calculation_agent,Party for calculation agent,95,B,[109],The text explicitly states 'The Calculation Agent is Party B.'
governing_law,Governing Law,95,NEW-YORK,[115],The text explicitly states that the agreement is governed by the laws of the State of New York.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,,The text does not mention 'borrowed money' in relation to specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,50,None,,The text does not mention 'deposits' in relation to specified indebtedness.
threshold_amount_A_amount,amount for Party A,50,None,,No specific amount for Party A's threshold is mentioned in the text.
threshold_amount_A_currency,currency for Party A ,50,None,,No currency for Party A's threshold amount is specified in the text.
threshold_amount_A_percent,percentage for Party A ,50,None,,No percentage for Party A's threshold is mentioned in the text.
threshold_amount_A_percent_reference,percentage reference for Party A ,50,None,,No reference for Party A's threshold percentage is provided in the text.
threshold_amount_B_amount,amount for Party B,50,None,,No specific amount for Party B's threshold is mentioned in the text.
threshold_amount_B_currency,currency for Party B,50,None,,No currency for Party B's threshold amount is specified in the text.
threshold_amount_B_percent,percentage for Party B,50,None,,No percentage for Party B's threshold is mentioned in the text.
threshold_amount_B_percent_reference,percentage reference for Party B,50,None,,No reference for Party B's threshold percentage is provided in the text.
