key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2012-11-15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The contract date is explicitly stated as 'dated as of November 15, 2012'."
party_A,Party A,100,THE BANK OF NOVA SCOTIA,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party A is explicitly named as 'THE BANK OF NOVA SCOTIA'.
party_B,party_B,100,Halifax Funding LLC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is explicitly named as 'Halifax Funding LLC'.
specified_entity_A,Specified entity Party A,100,None,"[11, 12]",The text explicitly states 'Specified Entity' in relation to Party A: none.
specified_entity_B,Specified entity Party B,100,KKR Asset Management LLC,"[11, 12]",The text explicitly states 'Specified Entity' in relation to Party B: KKR Asset Management LLC (the 'KKR').
specified_transaction,Specified transaction scope,95,NONSTD,"[13, 14, 91, 135]","The text states that only the total return basket swap transaction dated November 15, 2012, shall constitute a 'Transaction' under this Agreement, indicating a non-standard specified transaction scope rather than the standard Section 14 definition."
cross_default,Cross default applicable parties,95,AB,[15],"The text states that the 'Cross Default' provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B, indicating both parties are subject to cross default."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,False,[17],"Text specifies exclusion of deposits but does not mention borrowed money, so borrowed money is not included."
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[17],Text explicitly states that Specified Indebtedness shall not include obligations in respect of deposits received in the ordinary course of Party A's banking business.
threshold_amount_A_amount,amount for Party A,90,None,[18],"Threshold amount for Party A is specified as 3% of shareholders' equity, no fixed amount given."
threshold_amount_A_currency,currency for Party A ,80,None,[18],Currency not explicitly stated; 'or its equivalent in any other currency' implies currency may vary.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[18],Party A's threshold amount is 3% of shareholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[18],Percentage reference for Party A is shareholders' equity as stated.
threshold_amount_B_amount,amount for Party B,90,None,[18],"Threshold amount for Party B is 3% of Net Asset Value, no fixed amount given."
threshold_amount_B_currency,currency for Party B,80,None,[18],Currency not explicitly stated for Party B; likely same as NAV currency.
threshold_amount_B_percent,percentage for Party B,100,3.0,[18],Party B's threshold amount is 3% of Net Asset Value.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[18],Percentage reference for Party B is Net Asset Value as stated.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[19],The text states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,[20],"The text states that the Automatic Early Termination provision will not apply to Party A or Party B, except under specific court orders related to bankruptcy or insolvency, implying generally no party is automatically subject to early termination."
termination_currency,Termination Currency,95,USD,[22],"The text explicitly defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[61, 62, 63, 64, 65, 66, 67, 68]","No email address provided for Party A in the notices section; only physical address, facsimile, and telephone numbers are given."
notices_B,Email for notices for Party B,90,None,"[61, 62, 63, 64, 65, 66, 67, 68]","No email address provided for Party B in the notices section; only physical address, facsimile, and telephone numbers are given."
process_agent_A,Process agent for party A,95,False,"[69, 70, 71]",Text states 'Party A appoints as its Process Agent: Not applicable.' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,95,None,"[69, 70, 71]",No process agent appointed for Party A as per text.
process_agent_address_A,Address of process agent for party A,95,None,"[69, 70, 71]",No process agent appointed for Party A as per text.
process_agent_B,Process agent for party B,95,True,"[69, 70, 71]","Text states 'Party B appoints as its Process Agent: Halifax Funding LLC is: National Registered Agents, Inc., 160 Greentree Drive, Suite 101, Dover, Delaware 19904.' indicating process agent is applicable for Party B."
process_agent_name_B,Name of process agent for party B,95,"National Registered Agents, Inc.","[69, 70, 71]","Process agent name for Party B is 'National Registered Agents, Inc.' as per text."
process_agent_address_B,Address of process agent for party B,95,"160 Greentree Drive, Suite 101, Dover, Delaware 19904","[69, 70, 71]","Process agent address for Party B is '160 Greentree Drive, Suite 101, Dover, Delaware 19904' as per text."
multibranch_party_A,Party A is a Multibranch party,95,True,"[73, 74, 75]",Text explicitly states Party A is a Multibranch Party acting out of New York and Toronto Offices.
multibranch_party_A_offices,Party A offices,95,New York and Toronto Offices,"[73, 74, 75]",Text explicitly states Party A acts out of its New York and Toronto Offices.
multibranch_party_B,Party B is a Multibranch party,95,False,"[73, 74, 75]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[73, 74, 75]",No offices mentioned for Party B as it is not a Multibranch Party.
calculation_agent,Party for calculation agent,90,A,"[76, 77]","The text states the Calculation Agent is Party A unless otherwise agreed in a Confirmation. No other agreement is provided, so default is Party A."
governing_law,Governing Law,95,NEW-YORK,"[86, 139]",The text explicitly states the agreement is governed by the laws of the State of New York.
