key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,95,any Affiliate of Party A,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","The text explicitly states that for Section 5(a)(v), the Specified Entity for Party A is 'any Affiliate of Party A'. For other sections, it is 'none', but the typical field refers to the main designation, which is for 5(a)(v)."
specified_entity_B,Specified entity Party B,95,any Affiliate of Party B,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","The text explicitly states that for Section 5(a)(v), the Specified Entity for Party B is 'any Affiliate of Party B'. For other sections, it is 'none', but the main designation is for 5(a)(v)."
specified_transaction,Specified transaction scope,100,STD,[18],"The text states that 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, indicating the standard definition is used."
cross_default,Cross default applicable parties,95,AB,"[19, 22, 23]",The text explicitly states that the Cross-Default provisions apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[20],"The text does not mention 'borrowed money' explicitly or implicitly in the definition or exclusion; therefore, cannot determine if borrowed money is included."
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[20],The text explicitly states that 'Specified Indebtedness' shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_A,Threshold amount for Party A,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party A; the threshold is defined as a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': 'No specific currency is stated for Party A; the threshold is a percentage of equity.'}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""Explicitly stated as 'three percent' for Party A.""}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""Explicitly stated as 'three percent of the shareholders' equity of Party A'.""}}",[21],All information for Party A is explicitly stated in the text.
threshold_B,Threshold amount for Party B,100,"{'amount': {'value': 20000000, 'confidence': 1.0, 'explanation': ""Explicitly stated as 'USD 20,000,000' for Party B.""}, 'currency': {'value': 'USD', 'confidence': 1.0, 'explanation': ""Explicitly stated as 'USD' for Party B.""}, 'percent': {'value': None, 'confidence': 1.0, 'explanation': 'No percentage threshold is stated for Party B; it is a fixed amount.'}, 'percent_reference': {'value': None, 'confidence': 1.0, 'explanation': 'No percentage threshold is stated for Party B.'}}",[21],All information for Party B is explicitly stated in the text.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[24],The text explicitly states that the 'Credit Event Upon Merger' provisions will apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[25],The text explicitly states that Automatic Early Termination will not apply to Party A or Party B.
termination_currency,Termination Currency,90,None,[26],"The text states that 'Termination Currency' will have the meaning set forth in Section 14 of the Agreement, but does not specify a currency. Therefore, the value is not present in the provided text."
notices_A,Email for notices for Party A,90,None,"[43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",No email address is provided for Party A in the notice section; only a facsimile number and physical address are listed.
notices_B,Email for notices for Party B,100,lo'brien@barnesgroupinc.com,"[43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",The email address for Party B is explicitly stated as 'Email: lo'brien@barnesgroupinc.com'.
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': 'The text explicitly states that Party A appoints as its Process Agent: Not applicable.'}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent name is provided as it is stated 'Not applicable.'""}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent address is provided as it is stated 'Not applicable.'""}}","[60, 61, 62]",The contract explicitly states that Party A does not appoint a process agent.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': 'The text explicitly states that Party B appoints as its Process Agent: Not applicable.'}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent name is provided as it is stated 'Not applicable.'""}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent address is provided as it is stated 'Not applicable.'""}}","[60, 61, 62]",The contract explicitly states that Party B does not appoint a process agent.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': None, 'confidence': 0.9, 'explanation': 'The text says Party A may act through any Office specified in a Confirmation, but does not list specific offices.'}}","[64, 65, 66]",Both the multibranch status and the office specification for Party A are directly addressed in the text.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[64, 65, 66]",The text directly states Party B is not a Multibranch Party.
governing_law,Governing Law,100,NEW-YORK,[72],The text explicitly states that the agreement will be governed by the laws of the State of New York.
