key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2019-03-20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of March 20, 2019' in the heading."
party_A,Party A,99,"CITIBANK, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A identified as 'CITIBANK, N.A.' acting through its offices, labeled as 'Party A'."
party_B,party_B,99,FARMER BROS. CO.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B identified as 'FARMER BROS. CO.', labeled as 'Party B'."
specified_entity_A,Specified entity Party A,95,"Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Japan Ltd., Citibank Canada, Citigroup Energy Canada ULC, Citigroup Financial Products Inc.","[17, 18]",Explicitly listed as Specified Entity for Party A in the text.
specified_entity_B,Specified entity Party B,90,Not Applicable,"[17, 18]","Text states 'in relation to Party B, Not Applicable'."
specified_transaction,Specified transaction scope,90,STD,"[19, 22]","The text states that 'Specified Transaction' has the meaning specified in Section 14 of the Agreement, indicating the standard definition as per Section 14, thus 'STD' applies."
cross_default,Cross default applicable parties,95,AB,[23],The text states that the 'Cross Default' provisions apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,False,[25],Text does not mention inclusion of borrowed money in Specified Indebtedness; only exclusion of deposits is specified.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[25],Text explicitly states that Specified Indebtedness shall not include deposits received in the course of ordinary banking business.
threshold_amount_A_amount,amount for Party A,90,None,"[26, 27, 28, 29]","Threshold amount for Party A is expressed as a percentage of stockholders' equity, no fixed amount provided."
threshold_amount_A_currency,currency for Party A ,90,None,"[26, 27, 28, 29]","No fixed currency amount for Party A, threshold is percentage based."
threshold_amount_A_percent,percentage for Party A ,100,2.0,"[26, 27, 28, 29]",Threshold amount for Party A is 2% of stockholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[26, 27, 28, 29]",Percentage reference for Party A is stockholders' equity (Shareholder's equity).
threshold_amount_B_amount,amount for Party B,100,10000000.0,"[26, 27, 28, 29]","Threshold amount for Party B is USD 10,000,000."
threshold_amount_B_currency,currency for Party B,100,USD,"[26, 27, 28, 29]",Currency for Party B threshold amount is USD.
threshold_amount_B_percent,percentage for Party B,90,None,"[26, 27, 28, 29]","Threshold amount for Party B is a fixed amount, no percentage provided."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,"[26, 27, 28, 29]",No percentage reference for Party B as threshold is a fixed amount.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[31],The text states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,[32],"The text states that Automatic Early Termination provisions will not apply to Party A or Party B, except under specific legal conditions not detailed here, so generally it does not apply to either party."
termination_currency,Termination Currency,90,None,[33],"The text states that 'Termination Currency' is defined in Section 14 of the Agreement, but the actual currency is not provided in the excerpt."
notices_A,Email for notices for Party A,90,None,"[77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 91, 92, 93, 94]",No email address provided for Party A; only physical address and facsimile number given.
notices_B,Email for notices for Party B,100,LegalDepartment@farmerbros.com,"[77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 91, 92, 93, 94]",Email address explicitly provided for Party B under Address for notices or communications to Party B.
process_agent_A,Process agent for party A,90,False,"[95, 96]",No mention of process agent for Party A in the provided text.
process_agent_name_A,Name of process agent for party A,90,None,"[95, 96]",No process agent name for Party A found in the text.
process_agent_address_A,Address of process agent for party A,90,None,"[95, 96]",No process agent address for Party A found in the text.
process_agent_B,Process agent for party B,95,False,"[95, 96]",Text explicitly states 'Party B appoints as its Process Agent: Not applicable' indicating no process agent for Party B.
process_agent_name_B,Name of process agent for party B,95,None,"[95, 96]",No process agent name for Party B as process agent is not applicable.
process_agent_address_B,Address of process agent for party B,95,None,"[95, 96]",No process agent address for Party B as process agent is not applicable.
multibranch_party_A,Party A is a Multibranch party,95,True,"[98, 99, 100]",Text explicitly states Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,95,"New York, London, Singapore and Sydney","[98, 99, 100]",Text lists these offices as those through which Party A may enter into a Transaction.
multibranch_party_B,Party B is a Multibranch party,95,False,"[98, 99, 100]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[98, 99, 100]",No offices listed for Party B since it is not a Multibranch Party.
calculation_agent,Party for calculation agent,90,A,[101],"The text states the Calculation Agent will be Party A unless it is a Defaulting Party, in which case Party B may appoint a substitute. The default and primary agent is Party A."
governing_law,Governing Law,95,NEW-YORK,[106],The text explicitly states the agreement is governed by the laws of the State of New York.
