key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2005-09-30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of September 30, 2005' in the header."
party_A,Party A,99,"HSBC BANK USA, NATIONAL ASSOCIATION","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A named explicitly as 'HSBC BANK USA, NATIONAL ASSOCIATION' in the header."
party_B,party_B,95,"SUPPLEMENTAL INTEREST TRUST, STRUCTURED ASSET INVESTMENT LOAN TRUST MORTGAGE PASS-THROUGH CERTIFICATES, SERIES 2005-8","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B named explicitly as 'SUPPLEMENTAL INTEREST TRUST, STRUCTURED ASSET INVESTMENT LOAN TRUST MORTGAGE PASS-THROUGH CERTIFICATES, SERIES 2005-8' in the header."
specified_entity_A,Specified entity Party A,100,None,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","The text explicitly states 'not applicable' for Party A in all relevant sections, indicating no specified entity."
specified_entity_B,Specified entity Party B,100,None,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","The text explicitly states 'not applicable' for Party B in all relevant sections, indicating no specified entity."
specified_transaction,Specified transaction scope,90,STD,"[20, 183]","The text states 'Specified Transaction' has the meaning specified in Section 14 of this Agreement, indicating the standard definition per Section 14 is used."
cross_default,Cross default applicable parties,90,NONE,[28],Section 5(a)(vi) (Cross Default) explicitly states it will not apply to Party A or Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,NONE,"[30, 36]",Section 5(b)(iv) explicitly states that Credit Event upon Merger will not apply to Party A or Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[38],The text explicitly states that the Automatic Early Termination provision will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,95,USD,[46],"The text explicitly defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[76, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",No email address provided for Party A; only physical address and fax number given.
notices_B,Email for notices for Party B,90,None,"[76, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]","No email address provided for Party B; only physical addresses, telephone, and fax numbers given."
process_agent_A,Process agent for party A,95,False,"[110, 111, 112]","Text states 'Party A appoints as its Process Agent, not applicable.' indicating no process agent for Party A."
process_agent_name_A,Name of process agent for party A,95,None,"[110, 111, 112]",No process agent name provided for Party A as it is not applicable.
process_agent_address_A,Address of process agent for party A,95,None,"[110, 111, 112]",No process agent address provided for Party A as it is not applicable.
process_agent_B,Process agent for party B,95,False,"[110, 111, 112]","Text states 'Party B appoints as its Process Agent, not applicable.' indicating no process agent for Party B."
process_agent_name_B,Name of process agent for party B,95,None,"[110, 111, 112]",No process agent name provided for Party B as it is not applicable.
process_agent_address_B,Address of process agent for party B,95,None,"[110, 111, 112]",No process agent address provided for Party B as it is not applicable.
multibranch_party_A,Party A is a Multibranch party,100,False,"[116, 117, 118]",Text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,,None,"[116, 117, 118]",No offices information provided since Party A is not multibranch.
multibranch_party_B,Party B is a Multibranch party,100,False,"[116, 117, 118]",Text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,,None,"[116, 117, 118]",No offices information provided since Party B is not multibranch.
calculation_agent,Party for calculation agent,95,A,[120],The text explicitly states 'The Calculation Agent is Party A.'
governing_law,Governing Law,95,NEW-YORK,[130],The text explicitly states the agreement is governed by the laws of the State of New York.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,None,,No mention of specified indebtness including borrowed money in the provided text.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,None,,No mention of specified indebtness excluding deposits in the provided text.
threshold_amount_A_amount,amount for Party A,90,None,,No threshold amount for Party A specified in the text.
threshold_amount_A_currency,currency for Party A ,90,None,,No threshold currency for Party A specified in the text.
threshold_amount_A_percent,percentage for Party A ,90,None,,No threshold percentage for Party A specified in the text.
threshold_amount_A_percent_reference,percentage reference for Party A ,90,None,,No threshold percentage reference for Party A specified in the text.
threshold_amount_B_amount,amount for Party B,90,None,,No threshold amount for Party B specified in the text.
threshold_amount_B_currency,currency for Party B,90,None,,No threshold currency for Party B specified in the text.
threshold_amount_B_percent,percentage for Party B,90,None,,No threshold percentage for Party B specified in the text.
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,,No threshold percentage reference for Party B specified in the text.
