key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2020-04-02,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of April 2, 2020' in the contract."
party_A,Party A,95,"HSBC BANK USA, NATIONAL ASSOCIATION","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'HSBC BANK USA, NATIONAL ASSOCIATION' in the contract."
party_B,party_B,95,"ADVANCED ENERGY INDUSTRIES, INC.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'ADVANCED ENERGY INDUSTRIES, INC.' in the contract."
specified_entity_A,Specified entity Party A,100,None,"[18, 19, 20, 21, 107, 108]","The text explicitly states 'Specified Entity' means in relation to Party A, none."
specified_entity_B,Specified entity Party B,100,None,"[18, 19, 20, 21, 107, 108]","The text explicitly states 'Specified Entity' means in relation to Party B, none."
specified_transaction,Specified transaction scope,95,STD,[22],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, which aligns with the standard definition."
cross_default,Cross default applicable parties,95,AB,"[23, 24]",The text explicitly states that the 'Cross-Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,[25],The text does not mention borrowed money in relation to specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[25],The text explicitly states that specified indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_amount_A_amount,amount for Party A,80,None,[26],"The text specifies a percentage for Party A, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,80,None,[26],"The text specifies a percentage for Party A, not a fixed currency amount."
threshold_amount_A_percent,percentage for Party A ,100,3.0,[26],The text explicitly states 'three percent (3%)' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[26],The text refers to 'Party A's shareholders' equity' as the reference.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[26],"The text explicitly states 'USD 50,000,000' for Party B."
threshold_amount_B_currency,currency for Party B,100,USD,[26],The text specifies the amount in 'USD' for Party B.
threshold_amount_B_percent,percentage for Party B,80,None,[26],"The text specifies a fixed amount for Party B, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,80,None,[26],"The text specifies a fixed amount for Party B, not a percentage reference."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[30],The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[31],The text explicitly states that the 'Automatic Early Termination' provision will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[32],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,95,HBUS.ISDA.NOTICES@us.hsbc.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]",The email for notices to Party A is explicitly mentioned under the section for Party A's address for notices.
notices_B,Email for notices for Party B,95,chris.hanson@aei.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]",The email for notices to Party B is explicitly mentioned under the section for Party B's address for notices.
process_agent_A,Process agent for party A,100,False,"[89, 90, 91]",The text explicitly states 'Party A appoints as its Process Agent: Not Applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[89, 90, 91]","Since process agent is not applicable for Party A, no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[89, 90, 91]","Since process agent is not applicable for Party A, no address is provided."
process_agent_B,Process agent for party B,100,False,"[89, 90, 91]",The text explicitly states 'Party B appoints as its Process Agent: Not Applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[89, 90, 91]","Since process agent is not applicable for Party B, no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[89, 90, 91]","Since process agent is not applicable for Party B, no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[93, 94, 95]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[93, 94, 95]","Since Party A is not a Multibranch Party, there are no offices to list."
multibranch_party_B,Party B is a Multibranch party,100,False,"[93, 94, 95]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[93, 94, 95]","Since Party B is not a Multibranch Party, there are no offices to list."
calculation_agent,Party for calculation agent,90,A,[96],The text explicitly states 'Calculation Agent is Party A' as the default condition.
governing_law,Governing Law,95,NEW-YORK,[103],The text explicitly states that the agreement is governed by the laws of the State of New York.
