key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2008-03-06,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of March 6, 2008' in the contract."
party_A,Party A,95,"Wells Fargo Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'Wells Fargo Bank, N.A.' in the contract."
party_B,party_B,95,Barnes Group Inc.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'Barnes Group Inc., a Delaware corporation' in the contract."
specified_entity_A,Specified entity Party A,100,None,"[7, 8, 9, 10]",The text explicitly states 'None' for all sections related to Party A.
specified_entity_B,Specified entity Party B,90,"Subsidiaries, as defined in the Credit Agreement","[7, 8, 9, 10]","The text specifies 'Subsidiaries, as defined in the Credit Agreement' for Party B in multiple sections."
specified_transaction,Specified transaction scope,90,STD,[11],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, which aligns with the standard definition."
cross_default,Cross default applicable parties,95,AB,"[12, 13, 14]",The text explicitly states that the 'Cross-Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[15],"The text does not explicitly mention borrowed money, making it unclear if it is included."
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[15],The text explicitly states that specified indebtedness excludes deposits for Party A.
threshold_amount_A_amount,amount for Party A,80,None,[16],"The contract specifies a percentage for Party A, not an amount."
threshold_amount_A_currency,currency for Party A ,80,None,[16],"The contract specifies a percentage for Party A, not a currency amount."
threshold_amount_A_percent,percentage for Party A ,100,3.0,[16],The contract explicitly states '3% of the Shareholders Equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[16],The percentage for Party A is based on 'Shareholders Equity'.
threshold_amount_B_amount,amount for Party B,100,20000000.0,[16],"The contract specifies '$20,000,000 in respect of any other Specified Indebtedness' for Party B."
threshold_amount_B_currency,currency for Party B,90,USD,[16],"The amount for Party B is specified in dollars, implying USD."
threshold_amount_B_percent,percentage for Party B,80,None,[16],"The contract specifies an amount for Party B, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,80,None,[16],"The contract specifies an amount for Party B, not a percentage reference."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[18],The text explicitly states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[19],The text explicitly states that the 'Automatic Early Termination' provision will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[21],"The text explicitly states 'Termination Currency means United States Dollars', which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,80,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",The text does not explicitly mention an email address for notices for Party A.
notices_B,Email for notices for Party B,80,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",The text does not explicitly mention an email address for notices for Party B.
process_agent_A,Process agent for party A,100,False,[52],The text explicitly states that neither Party A nor Party B will appoint a Process Agent.
process_agent_name_A,Name of process agent for party A,100,None,[52],"Since no Process Agent is appointed for Party A, there is no name to extract."
process_agent_address_A,Address of process agent for party A,100,None,[52],"Since no Process Agent is appointed for Party A, there is no address to extract."
process_agent_B,Process agent for party B,100,False,[52],The text explicitly states that neither Party A nor Party B will appoint a Process Agent.
process_agent_name_B,Name of process agent for party B,100,None,[52],"Since no Process Agent is appointed for Party B, there is no name to extract."
process_agent_address_B,Address of process agent for party B,100,None,[52],"Since no Process Agent is appointed for Party B, there is no address to extract."
multibranch_party_A,Party A is a Multibranch party,100,False,"[54, 55, 56]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[54, 55, 56]","Since Party A is not a Multibranch Party, no offices are applicable."
multibranch_party_B,Party B is a Multibranch party,100,False,"[54, 55, 56]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[54, 55, 56]","Since Party B is not a Multibranch Party, no offices are applicable."
calculation_agent,Party for calculation agent,90,A,[57],The text explicitly states 'The Calculation Agent is Party A'.
governing_law,Governing Law,95,NEW-YORK,[64],The text explicitly states that the agreement is governed by the laws of the State of New York.
