key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,100,None,"[16, 17, 18, 19, 109, 110]",The text explicitly states that 'Specified Entity' in relation to Party A is 'None.'
specified_entity_B,Specified entity Party B,100,None,"[16, 17, 18, 19, 109, 110]",The text explicitly states that 'Specified Entity' in relation to Party B is 'None.'
specified_transaction,Specified transaction scope,95,STD,[20],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, indicating the standard definition is used."
cross_default,Cross default applicable parties,100,AB,"[21, 22, 25]",The text explicitly states that the 'Cross-Default' provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[23],The text does not explicitly mention whether 'borrowed money' is included in Specified Indebtedness. It only states that deposits and Non-recourse Indebtedness are excluded.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[23],The text explicitly states that Specified Indebtedness shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.
threshold_A,Threshold amount for Party A,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party A; threshold is expressed as a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': ""No currency is specified for Party A's threshold; it is a percentage of equity.""}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""Explicitly stated as 'three percent (3%)'.""}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""Reference is 'Stockholders' Equity', which matches the SHAREHOLDER enum.""}}",[24],All information for Party A is explicitly stated in the definition.
threshold_B,Threshold amount for Party B,100,"{'amount': {'value': 50000000, 'confidence': 1.0, 'explanation': ""Explicitly stated as 'USD 50,000,000'.""}, 'currency': {'value': 'USD', 'confidence': 1.0, 'explanation': ""Explicitly stated as 'USD'.""}, 'percent': {'value': None, 'confidence': 1.0, 'explanation': 'No percentage threshold is stated for Party B.'}, 'percent_reference': {'value': None, 'confidence': 1.0, 'explanation': 'No percentage reference is applicable for Party B.'}}",[24],All information for Party B is explicitly stated in the definition.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[29],"The text states that the 'Credit Event Upon Merger' provisions apply to Party A and will apply to Party B, indicating both parties are covered."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[30],The text explicitly states that Automatic Early Termination will not apply to Party A and will not apply to Party B.
termination_currency,Termination Currency,100,USD,[31],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]","No email address is provided for Party A (Citibank, N.A.) in the text; only physical address and facsimile are listed."
notices_B,Email for notices for Party B,100,chris.hanson@aei.com,"[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]","The email for Party B (Advanced Energy Industries, Inc.) is explicitly stated as 'E-mail: chris.hanson@aei.com'."
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not Applicable' for Party A's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party A, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party A, so no address is provided.'}}","[89, 90, 91]",Both the name and address are not applicable as per the contract text.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not Applicable' for Party B's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party B, so no name is provided.'}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': 'No process agent is appointed for Party B, so no address is provided.'}}","[89, 90, 91]",Both the name and address are not applicable as per the contract text.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': ['New York Office'], 'confidence': 1.0, 'explanation': ""The text states Party A 'may act through its New York Office'.""}}","[93, 94, 95]",Both the multibranch status and office for Party A are explicitly stated.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[93, 94, 95]",Party B's status is explicitly stated as not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,[96],"The text explicitly states 'Calculation Agent is Party A' in business as usual situations, with an alternate only if an Event of Default occurs with respect to Party A."
governing_law,Governing Law,100,NEW-YORK,"[103, 104]",The text explicitly states that the agreement shall be governed by and construed in accordance with the laws of the State of New York.
