key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2010-05-28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of May 28, 2010' in the contract."
party_A,Party A,95,SOCIÉTÉ GÉNÉRALE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'SOCIÉTÉ GÉNÉRALE' in the text, described as a company incorporated under the laws of France."
party_B,party_B,95,"CINEDIGM DIGITAL FUNDING I, LLC","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'CINEDIGM DIGITAL FUNDING I, LLC' in the text, described as a limited liability company formed under the laws of the State of Delaware."
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 94, 95]","The text explicitly states 'Specified Entity' means in relation to Party A, None."
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 94, 95]","The text explicitly states 'Specified Entity' means in relation to Party B, None."
specified_transaction,Specified transaction scope,95,STD,[18],"The text directly references Section 14, which aligns with the 'Standard' definition for Specified Transaction scope."
cross_default,Cross default applicable parties,95,AB,"[19, 20]",The text explicitly states that the 'Cross-Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,80,True,[21],"The text mentions 'reimbursement obligations in respect of letters of credit, bankers' acceptances with third parties and capital leases,' which are typically forms of borrowed money."
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[21],The text explicitly states that 'Specified Indebtedness' shall exclude 'indebtedness in respect of deposits received in the ordinary course of business.'
threshold_amount_A_amount,amount for Party A,80,None,"[22, 23]","The text specifies a percentage for Party A, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,80,None,"[22, 23]","The text specifies a percentage for Party A, not a currency amount."
threshold_amount_A_percent,percentage for Party A ,90,3.0,"[22, 23]",The text states '3% of shareholder's equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,90,SHAREHOLDER,"[22, 23]",The text specifies 'shareholder's equity' as the reference for Party A's percentage.
threshold_amount_B_amount,amount for Party B,90,250000.0,"[22, 23]","The text specifies 'USD 250,000' for Party B."
threshold_amount_B_currency,currency for Party B,90,USD,"[22, 23]","The text specifies 'USD 250,000' for Party B."
threshold_amount_B_percent,percentage for Party B,80,None,"[22, 23]","The text specifies a fixed amount for Party B, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,80,None,"[22, 23]","The text specifies a fixed amount for Party B, not a percentage."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[24],The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[25],"The text explicitly states that the 'Automatic Early Termination' provision will not apply to Party A or Party B, indicating that it applies to no party."
termination_currency,Termination Currency,95,USD,[26],"The text explicitly states 'Termination Currency' means United States Dollars (USD), indicating USD as the termination currency."
notices_A,Email for notices for Party A,50,None,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",The text does not provide an email address for notices to Party A.
notices_B,Email for notices for Party B,95,gloffredo@cinedigm.com,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",The email address for notices to Party B is explicitly mentioned under the address for Party B.
process_agent_A,Process agent for party A,100,True,"[70, 71, 72, 73, 74, 75, 76]",Party A appoints a process agent as specified in the text.
process_agent_name_A,Name of process agent for party A,100,"SOCIÉTÉ GÉNÉRALE, New York Branch","[70, 71, 72, 73, 74, 75, 76]",The name of the process agent for Party A is explicitly mentioned.
process_agent_address_A,Address of process agent for party A,100,"1221 Avenue of the Americas, New York, NY 10020","[70, 71, 72, 73, 74, 75, 76]",The address of the process agent for Party A is explicitly mentioned.
process_agent_B,Process agent for party B,100,False,"[70, 71, 72, 73, 74, 75, 76]",Party B appoints no process agent as explicitly stated in the text.
process_agent_name_B,Name of process agent for party B,100,None,"[70, 71, 72, 73, 74, 75, 76]",No process agent is appointed for Party B.
process_agent_address_B,Address of process agent for party B,100,None,"[70, 71, 72, 73, 74, 75, 76]","No process agent is appointed for Party B, hence no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[78, 79, 80]",The text explicitly states 'Party A is a Multibranch Party'.
multibranch_party_A_offices,Party A offices,100,Head Office and any of its branch Offices worldwide,"[78, 79, 80]",The text specifies 'Party A...may enter into a Transaction through its Head Office and any of its branch Offices worldwide.'
multibranch_party_B,Party B is a Multibranch party,100,False,"[78, 79, 80]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[78, 79, 80]","Since Party B is not a Multibranch Party, there are no offices specified."
calculation_agent,Party for calculation agent,95,A,[81],"The text explicitly states 'The Calculation Agent is Party A', indicating Party A is the calculation agent."
governing_law,Governing Law,95,NEW-YORK,"[86, 87]",The text explicitly states that the agreement will be governed by the laws of the State of New York.
