key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2015-12-30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned in the text as 'dated as of December 30, 2015'."
party_A,Party A,95,"CAPITAL ONE, NATIONAL ASSOCIATION","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'CAPITAL ONE, NATIONAL ASSOCIATION' in the text."
party_B,party_B,95,"MACK-CALI REALTY, L.P.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'MACK-CALI REALTY, L.P.' in the text."
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 60, 61]","The text explicitly states 'Specified Entity' means in relation to Party A, None."
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 60, 61]","The text explicitly states 'Specified Entity' means in relation to Party B, None."
specified_transaction,Specified transaction scope,90,STD,"[11, 74]","The text specifies that 'Specified Transaction' will have the meaning specified in Section 14, which aligns with the standard definition."
cross_default,Cross default applicable parties,95,AB,"[12, 13, 14]",The text explicitly states that the 'Cross Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,[15],The text does not mention borrowed money in relation to specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[15],The text explicitly states that specified indebtedness shall not include obligations in respect of deposits.
threshold_amount_A_amount,amount for Party A,90,None,[16],"The text specifies a percentage for Party A, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[16],"The text specifies a percentage for Party A, not a currency."
threshold_amount_A_percent,percentage for Party A ,100,3.0,[16],The text states '3% of the shareholders' equity of Party A'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[16],The text specifies 'shareholders' equity of Party A' as the reference.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[16],"The text specifies '$50,000,000' for Party B."
threshold_amount_B_currency,currency for Party B,90,USD,[16],"The amount for Party B is specified in dollars, implying USD."
threshold_amount_B_percent,percentage for Party B,90,None,[16],"The text specifies a fixed amount for Party B, not a percentage."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[16],"The text specifies a fixed amount for Party B, not a percentage reference."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[17],The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[18],The text explicitly states that Automatic Early Termination will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[19],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO currency code 'USD'."
notices_A,Email for notices for Party A,95,tradingops@capitalone.com,"[38, 39, 40, 41, 42, 43, 44, 45]",The email for notices to Party A is explicitly mentioned under the section for Party A's contact details.
notices_B,Email for notices for Party B,95,bfitzpatrick@mack-cali.com,"[38, 39, 40, 41, 42, 43, 44, 45]",The email for notices to Party B is explicitly mentioned under the section for Party B's contact details.
process_agent_A,Process agent for party A,100,False,"[46, 47, 48]",The text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[46, 47, 48]","Since the process agent is not applicable for Party A, there is no name provided."
process_agent_address_A,Address of process agent for party A,100,None,"[46, 47, 48]","Since the process agent is not applicable for Party A, there is no address provided."
process_agent_B,Process agent for party B,100,False,"[46, 47, 48]",The text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[46, 47, 48]","Since the process agent is not applicable for Party B, there is no name provided."
process_agent_address_B,Address of process agent for party B,100,None,"[46, 47, 48]","Since the process agent is not applicable for Party B, there is no address provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[50, 51, 52]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[50, 51, 52]","Since Party A is not a Multibranch Party, there are no offices to list."
multibranch_party_B,Party B is a Multibranch party,100,False,"[50, 51, 52]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[50, 51, 52]","Since Party B is not a Multibranch Party, there are no offices to list."
calculation_agent,Party for calculation agent,95,A,[53],The text explicitly states 'The Calculation Agent is Party A'.
governing_law,Governing Law,95,NEW-YORK,[56],The text explicitly states that the agreement is governed by the law of the State of New York.
