key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2011-03-22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of March 22, 2011' in the contract."
party_A,Party A,95,"BANK OF AMERICA, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'BANK OF AMERICA, N.A.' in the text, with a clear designation as 'Party A'."
party_B,party_B,95,LKQ CORPORATION,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'LKQ CORPORATION' in the text, with a clear designation as 'Party B'."
specified_entity_A,Specified entity Party A,100,none,"[17, 18, 116, 117]","The text explicitly states 'Specified Entity' means in relation to Party A, none."
specified_entity_B,Specified entity Party B,100,none,"[17, 18, 116, 117]","The text explicitly states 'Specified Entity' means in relation to Party B, none."
specified_transaction,Specified transaction scope,95,NONSTD,[19],The text indicates modifications to the standard definition in Section 14 by including additional transactions and amendments.
cross_default,Cross default applicable parties,95,AB,"[20, 21, 22]",The text explicitly states that the 'Cross-Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,95,True,[23],The text explicitly mentions 'any obligation in respect of borrowed money' as part of the specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[23],The text states that specified indebtedness 'shall not include obligations in respect of deposits received in the ordinary course of a party's banking business.'
threshold_amount_A_amount,amount for Party A,90,None,[24],"No specific amount mentioned for Party A, only a percentage."
threshold_amount_A_currency,currency for Party A ,90,None,[24],"No currency mentioned for Party A, only a percentage."
threshold_amount_A_percent,percentage for Party A ,100,3.0,[24],Explicitly mentioned as three percent (3%).
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[24],Reference to Shareholders' Equity of Bank of America Corporation.
threshold_amount_B_amount,amount for Party B,100,50000000.0,[24],"Explicitly mentioned as $50,000,000 for Party B."
threshold_amount_B_currency,currency for Party B,90,USD,[24],Currency inferred as USD from the dollar sign ($) used.
threshold_amount_B_percent,percentage for Party B,90,None,[24],"No percentage mentioned for Party B, only a specific amount."
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[24],No percentage reference mentioned for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,"[27, 28, 29]",The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,"[30, 31, 32]",The text states that Automatic Early Termination will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[33],"The text explicitly states 'Termination Currency means United States Dollars', which corresponds to the ISO currency code 'USD'."
notices_A,Email for notices for Party A,50,None,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]",The text does not explicitly mention an email address for notices to Party A.
notices_B,Email for notices for Party B,95,jsquinn@lkqcorp.com,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]",The email address for Party B is explicitly mentioned in the text under the address for notices to Party B.
process_agent_A,Process agent for party A,100,False,"[92, 93, 94]",The text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[92, 93, 94]","Since process agent is not applicable for Party A, there is no name provided."
process_agent_address_A,Address of process agent for party A,100,None,"[92, 93, 94]","Since process agent is not applicable for Party A, there is no address provided."
process_agent_B,Process agent for party B,100,False,"[92, 93, 94]",The text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[92, 93, 94]","Since process agent is not applicable for Party B, there is no name provided."
process_agent_address_B,Address of process agent for party B,100,None,"[92, 93, 94]","Since process agent is not applicable for Party B, there is no address provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[96, 97, 98]",The text explicitly states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,"Charlotte, North Carolina, Chicago, Illinois, San Francisco, California, New York, New York, Boston, Massachusetts, London, England, Toronto, Ontario","[96, 97, 98]",The offices are listed in the text following 'Party A is a Multibranch Party and may act through its...'
multibranch_party_B,Party B is a Multibranch party,100,False,"[96, 97, 98]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[96, 97, 98]","Since Party B is not a Multibranch Party, there are no offices listed."
calculation_agent,Party for calculation agent,95,A,[99],"The text explicitly states 'The Calculation Agent is Party A', indicating Party A is the calculation agent."
governing_law,Governing Law,95,NEW-YORK,[108],The text explicitly states that the agreement is governed by the laws of the State of New York.
