key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2016-11-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of November 4,2016' in the contract."
party_A,Party A,95,"MUFG Union Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'MUFG Union Bank, N.A.' in the contract text."
party_B,party_B,95,"Pricesmart, Inc.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'Pricesmart, Inc.' in the contract text."
specified_entity_A,Specified entity Party A,100,None,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 109, 110]",The text explicitly states 'Specified Entity' means in relation to Party A: None.
specified_entity_B,Specified entity Party B,100,Any Affiliate,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 109, 110]",The text explicitly states 'Specified Entity' means in relation to Party B: Any Affiliate.
specified_transaction,Specified transaction scope,95,STD,[20],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, which aligns with the standard definition."
cross_default,Cross default applicable parties,95,AB,"[21, 22, 24]",The text explicitly states that the 'Cross Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[25],"The text does not explicitly mention 'borrowed money', so it is unclear if it is included."
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[25],The text explicitly states that 'Specified Indebtedness' shall not include deposits received in the normal course of business for Party A.
threshold_amount_A_amount,amount for Party A,,None,[26],The text does not specify a fixed amount for Party A.
threshold_amount_A_currency,currency for Party A ,,None,[26],The text does not specify a currency for Party A.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[26],The text specifies '3% of Shareholders' Equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[26],The text specifies 'Shareholders' Equity' as the reference for Party A.
threshold_amount_B_amount,amount for Party B,,None,[26],The text does not specify a fixed amount for Party B.
threshold_amount_B_currency,currency for Party B,,None,[26],The text does not specify a currency for Party B.
threshold_amount_B_percent,percentage for Party B,,None,[26],The text does not specify a percentage for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,,None,[26],The text does not specify a percentage reference for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,"[29, 30, 31]",The text explicitly states that 'Credit Event Upon Merger' will apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[32],The text explicitly states that the 'Automatic Early Termination' provision will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[33],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,95,ISDAgroup@us.mufg.jp,"[71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]",The email for notices for Party A is explicitly mentioned twice under the addresses for notices to Party A.
notices_B,Email for notices for Party B,95,apatel@pricesmart.com,"[71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]",The email for notices for Party B is clearly stated under the address for notices to Party B.
process_agent_A,Process agent for party A,100,False,"[91, 92, 93]",The text explicitly states 'Party A appoints as its Process Agent: Not Applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[91, 92, 93]","Since process agent is not applicable for Party A, there is no name provided."
process_agent_address_A,Address of process agent for party A,100,None,"[91, 92, 93]","Since process agent is not applicable for Party A, there is no address provided."
process_agent_B,Process agent for party B,100,False,"[91, 92, 93]",The text explicitly states 'Party B appoints as its Process Agent: Not Applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[91, 92, 93]","Since process agent is not applicable for Party B, there is no name provided."
process_agent_address_B,Address of process agent for party B,100,None,"[91, 92, 93]","Since process agent is not applicable for Party B, there is no address provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[95, 96, 97]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,Los Angeles,"[95, 96, 97]",The text specifies 'Party A may act only through the following Office: Los Angeles.'
multibranch_party_B,Party B is a Multibranch party,100,False,"[95, 96, 97]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[95, 96, 97]","Since Party B is not a Multibranch Party, no offices are specified."
calculation_agent,Party for calculation agent,90,A,[98],"The text specifies 'The Calculation Agent is Party A', indicating Party A is the calculation agent."
governing_law,Governing Law,95,NEW-YORK,"[103, 105]",The text explicitly states that the agreement is governed by the laws of the State of New York.
