key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2005-10-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of October 12, 2005'."
party_A,Party A,95,Brown Brothers Harriman & Co,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party A is identified as 'Brown Brothers Harriman & Co' in the text.
party_B,party_B,95,Met - Pro Corporation,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is identified as 'Met - Pro Corporation' in the text.
specified_entity_A,Specified entity Party A,100,None,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",The text explicitly states 'None' for all sections related to Party A.
specified_entity_B,Specified entity Party B,100,None,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",The text explicitly states 'None' for all sections related to Party B.
specified_transaction,Specified transaction scope,95,STD,[14],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, which aligns with the standard definition."
cross_default,Cross default applicable parties,95,AB,[15],The text explicitly states that the 'Cross Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,90,True,[16],"The definition of Specified Indebtedness includes 'any obligation in respect of the payment of monies', which typically encompasses borrowed money."
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[16],The text explicitly states that Specified Indebtedness shall not include 'obligations in respect of deposits received in the ordinary course of a party's banking business'.
threshold_amount_A_amount,amount for Party A,95,10000000.0,"[17, 18]","The text specifies '$10,000,000' for Party A."
threshold_amount_A_currency,currency for Party A ,80,USD,"[17, 18]","The text uses '$', which typically denotes USD."
threshold_amount_A_percent,percentage for Party A ,,None,"[17, 18]",No percentage is mentioned for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,,None,"[17, 18]",No percentage reference is mentioned for Party A.
threshold_amount_B_amount,amount for Party B,95,10000000.0,"[17, 18]","The text specifies '$10,000,000' for Party B."
threshold_amount_B_currency,currency for Party B,80,USD,"[17, 18]","The text uses '$', which typically denotes USD."
threshold_amount_B_percent,percentage for Party B,,None,"[17, 18]",No percentage is mentioned for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,,None,"[17, 18]",No percentage reference is mentioned for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,"[19, 20]",The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,"[21, 22, 23]",The text explicitly states that Automatic Early Termination will not apply to either Party A or Party B.
termination_currency,Termination Currency,95,USD,[27],"The text explicitly states 'Termination Currency' means U S Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,80,None,"[46, 47, 48, 49, 50, 51, 52, 53, 54]",The text does not mention an email address for notices to Party A.
notices_B,Email for notices for Party B,80,None,"[46, 47, 48, 49, 50, 51, 52, 53, 54]",The text does not mention an email address for notices to Party B.
process_agent_A,Process agent for party A,100,False,"[55, 56, 57, 58]",The text explicitly states 'Party A None' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,100,None,"[55, 56, 57, 58]","Since no process agent is applicable for Party A, there is no name provided."
process_agent_address_A,Address of process agent for party A,100,None,"[55, 56, 57, 58]","Since no process agent is applicable for Party A, there is no address provided."
process_agent_B,Process agent for party B,100,True,"[55, 56, 57, 58]","The text provides details for Party B's process agent, indicating its applicability."
process_agent_name_B,Name of process agent for party B,100,Met-Pro,"[55, 56, 57, 58]",The name 'Met-Pro' is explicitly mentioned as the process agent for Party B.
process_agent_address_B,Address of process agent for party B,100,"160 Cassell Road, PO Box 144, Harleysville, PA 19438","[55, 56, 57, 58]",The address is clearly stated in the text for Party B's process agent.
multibranch_party_A,Party A is a Multibranch party,100,False,"[60, 61, 62]",The text explicitly states 'Party A is not a multibranch Party.'
multibranch_party_A_offices,Party A offices,100,New York,"[60, 61, 62]",The text specifies 'will act only through its New York office.'
multibranch_party_B,Party B is a Multibranch party,100,False,"[60, 61, 62]",The text explicitly states 'Party B is not a multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[60, 61, 62]",No offices are mentioned for Party B as it is not a multibranch party.
calculation_agent,Party for calculation agent,95,A,[63],The text explicitly states 'The calculation agent will be Party A.' indicating Party A is the calculation agent.
governing_law,Governing Law,95,NEW-YORK,[66],The text explicitly states that the agreement is governed by the laws of the State of New York.
