key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2017-07-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned as 'dated as of July 12, 2017' in the contract."
party_A,Party A,100,"JPMorgan Chase Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'JPMorgan Chase Bank, N.A.' in the contract text."
party_B,party_B,100,"CMF TT II, LLC","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'CMF TT II, LLC' in the contract text."
specified_entity_A,Specified entity Party A,90,any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation,"[9, 10, 11, 98, 99]","The text specifies that for Party A, the specified entity is any Affiliate except J.P. Morgan Ventures Energy Corporation."
specified_entity_B,Specified entity Party B,95,not applicable,"[9, 10, 11, 98, 99]",The text explicitly states that the specified entity for Party B is not applicable.
specified_transaction,Specified transaction scope,90,NONSTD,"[12, 119, 182]","The text indicates modifications to the definition of 'Specified Transaction' in Section 14, suggesting a non-standard scope."
cross_default,Cross default applicable parties,85,AB,"[13, 16, 17, 18]","The text indicates that the 'Cross-Default' provisions apply, but does not specify a single party, implying both parties are involved."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,[14],The text does not mention borrowed money in relation to specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[14],The text explicitly states that specified indebtedness shall exclude deposits received in the ordinary course of business.
threshold_amount_A_amount,amount for Party A,,None,[15],The text does not specify a fixed amount for Party A.
threshold_amount_A_currency,currency for Party A ,,None,[15],The text does not specify a currency for Party A.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],The text specifies 3% of total shareholders' equity for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],The percentage is referenced to total shareholders' equity for Party A.
threshold_amount_B_amount,amount for Party B,,None,[15],The text does not specify a fixed amount for Party B.
threshold_amount_B_currency,currency for Party B,,None,[15],The text does not specify a currency for Party B.
threshold_amount_B_percent,percentage for Party B,100,3.0,[15],The text specifies 3% of Net Asset Value for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[15],The percentage is referenced to Net Asset Value for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,NONE,[20],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply, indicating no party is applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[21],"The text explicitly states that the 'Automatic Early Termination' provisions will not apply, indicating no party is subject to it."
termination_currency,Termination Currency,95,USD,[19],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,90,jpm nav data@jpmorgan.com,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",The email for notices to Party A is explicitly mentioned in the text under the section for Net Asset Value statements.
notices_B,Email for notices for Party B,90,Patrick.egan@morganstanley.com,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",The email for notices to Party B is explicitly mentioned in the text under the section for notices to Party B.
process_agent_A,Process agent for party A,100,False,"[83, 84]",The text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[83, 84]","Since process agent is not applicable for Party A, no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[83, 84]","Since process agent is not applicable for Party A, no address is provided."
process_agent_B,Process agent for party B,100,False,"[83, 84]",The text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[83, 84]","Since process agent is not applicable for Party B, no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[83, 84]","Since process agent is not applicable for Party B, no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[86, 87]",The text explicitly states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,90,any Office specified in a Confirmation,"[86, 87]",The text mentions 'may act through any Office specified in a Confirmation.'
multibranch_party_B,Party B is a Multibranch party,100,False,"[86, 87]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[86, 87]","Since Party B is not a Multibranch Party, there are no offices specified."
calculation_agent,Party for calculation agent,90,A,"[123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137]","The text specifies that the Calculation Agent will be Party A, except in certain circumstances such as an Event of Default."
governing_law,Governing Law,95,NEW-YORK,[93],The text explicitly states that the agreement is governed by the laws of the State of New York.
