key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2008-09-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of September 12, 2008' at the beginning of the Schedule."
party_A,Party A,99,Barclays Bank PLC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party A is named as 'Barclays Bank PLC' in the line 'between Barclays Bank PLC and World Financial Network Credit Card Master Note Trust'.
party_B,party_B,99,World Financial Network Credit Card Master Note Trust,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is named as 'World Financial Network Credit Card Master Note Trust' in the line 'between Barclays Bank PLC and World Financial Network Credit Card Master Note Trust'.
specified_entity_A,Specified entity Party A,100,None,[8],Text explicitly states 'Specified Entity' shall not apply to Party A.
specified_entity_B,Specified entity Party B,100,None,[8],Text explicitly states 'Specified Entity' shall not apply to Party B.
specified_transaction,Specified transaction scope,95,NONSTD,"[4, 121, 122]","The contract specifies a single, defined transaction (Class A Swap) governed by the Agreement, with amendments not constituting separate transactions, indicating non-standard changes to Section 14."
cross_default,Cross default applicable parties,100,A,[13],Text states Cross Default provisions apply to Party A and not to Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,80,False,[14],No mention of borrowed money being included in Specified Indebtedness; only deposits are explicitly excluded.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[14],Text explicitly states Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business.
threshold_amount_A_amount,amount for Party A,90,None,[15],"No specific amount stated, only percentage provided."
threshold_amount_A_currency,currency for Party A ,90,None,[15],No currency mentioned in the text.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],Text states '3% of its total shareholders equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],Percentage is based on 'total shareholders equity'.
threshold_amount_B_amount,amount for Party B,90,None,[15],No information about Party B threshold amount in the text.
threshold_amount_B_currency,currency for Party B,90,None,[15],No information about Party B currency in the text.
threshold_amount_B_percent,percentage for Party B,90,None,[15],No information about Party B percentage in the text.
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[15],No information about Party B percentage reference in the text.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,NONE,"[19, 23]",The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply to Party A and will not apply to Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,"[20, 24]","The text explicitly states that the Automatic Early Termination provisions of Section 6(a) will not apply to Party A and will not apply to Party B, indicating no party is subject to automatic early termination."
termination_currency,Termination Currency,95,USD,[25],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[90, 91, 92, 95, 96, 97, 98, 99]","No email address provided for Party A, only physical address and phone/fax numbers."
notices_B,Email for notices for Party B,90,None,"[90, 91, 92, 95, 96, 97, 98, 99]","No email address provided for Party B, only physical addresses, phone and fax numbers."
process_agent_A,Process agent for party A,95,True,"[114, 115, 116]",Party A appoints Barclays Capital as Process Agent for Section 13(c).
process_agent_name_A,Name of process agent for party A,95,Barclays Capital,"[114, 115, 116]",Named as Process Agent for Party A in the text.
process_agent_address_A,Address of process agent for party A,95,"200 Park Avenue New York, NY 10166 Attn: Legal Department","[114, 115, 116]",Address provided immediately after the Process Agent name for Party A.
process_agent_B,Process agent for party B,95,False,"[114, 115, 116]",Text states 'Not applicable' for Party B's Process Agent.
process_agent_name_B,Name of process agent for party B,95,None,"[114, 115, 116]",No Process Agent appointed for Party B as per 'Not applicable' statement.
process_agent_address_B,Address of process agent for party B,95,None,"[114, 115, 116]",No address provided for Party B's Process Agent as none appointed.
multibranch_party_A,Party A is a Multibranch party,95,True,"[104, 105]",Text explicitly states Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,90,London and New York Offices,"[104, 105]",Text specifies Party A may act through its London and New York Offices.
multibranch_party_B,Party B is a Multibranch party,95,False,"[104, 105]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[104, 105]","Since Party B is not a Multibranch Party, no offices are specified."
calculation_agent,Party for calculation agent,90,A,[106],"The text states 'The Calculation Agent is Party A', indicating Party A is the calculation agent initially."
governing_law,Governing Law,95,NEW-YORK,[89],The text explicitly states the Agreement is governed by the laws of the State of New York.
